Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20823428,0.0006154,9.43e-06,-0.16484438750768032,0.026252639925430494,-0.008798265244909856,-164.93404075
1.0,0.2082476,0.00064626,1.068e-05,-1.2511595935796365,0.026153164017619718,-0.007734657718826808,-165.02370807
2.0,0.20827047,0.00063939,1.438e-05,-2.4733655987535785,0.02614025033699731,-0.0069925419122835565,-165.04221387
3.0,0.20828358,0.00059977,1.679e-05,-2.801343773143682,0.026347179252072847,-0.008733202298960166,-164.94109967
4.0,0.20825359,0.0005717,1.681e-05,-0.8524220619947407,0.026205583153530013,-0.006509425445708509,-165.08990925
5.0,0.20824617,0.00054884,1.796e-05,-0.21766044197753243,0.02636421351879375,-0.008150861591510218,-164.95063875
6.0,0.20824008,0.00054593,1.444e-05,0.21148145232130444,0.02633733083138511,-0.007499965467460694,-165.0048207
7.0,0.20825146,0.00053987,8.95e-06,-0.23505624339634654,0.02638665178229855,-0.007998366982420152,-165.02790526
8.0,0.20827341,0.00053737,8.79e-06,-1.3923117659296285,0.026309099876062315,-0.009084141714408812,-165.00043272
9.0,0.20818814,0.00056819,7.13e-06,2.9123773493774046,0.0263312013727767,-0.008683752835587238,-164.97162471
10.0,0.20828754,0.00060171,4.3e-06,-2.830777928929383,0.02659272596026499,-0.00731121091158019,-164.96284877
11.0,0.20822554,0.00061064,6.7e-06,0.41451931636163714,0.026406731010157947,-0.007989971157298572,-165.02828682
12.0,0.2082479,0.00057857,9.42e-06,-0.49186348011678194,0.026564386894845558,-0.006407700609755375,-165.07350204
13.0,0.20820237,0.00057319,9.01e-06,2.041158429281221,0.02622542990708046,-0.005721753405505092,-164.96819065
14.0,0.2082293,0.00061047,1.039e-05,0.14317177025229752,0.026463927195603924,-0.006906754676985564,-164.96838143
15.0,0.20821639,0.00062562,1.358e-05,0.6157700070443687,0.026506219446364134,-0.0072592966578978475,-165.01683993
16.0,0.20821355,0.00060995,1.499e-05,0.9252074889804752,0.026585209904036452,-0.007065913886672288,-164.8438011
17.0,0.20828988,0.00058297,1.773e-05,-2.986364364813461,0.02648533307363866,-0.007964801282404687,-164.94014577
18.0,0.20821416,0.00055615,1.776e-05,1.4496039045732811,0.026520548431719082,-0.008347049508752119,-165.08800144
19.0,0.20823591,0.00053014,1.802e-05,0.5478475706843997,0.026275126444400377,-0.007650675189442468,-164.84265641
20.0,0.2081859,0.00051568,2.002e-05,3.39289290687695,0.026384666300305164,-0.006840652918083904,-164.96399346
21.0,0.20825634,0.00055057,2.056e-05,-0.8336075666293143,0.02622659655518233,-0.005654992859789397,-165.06892329
22.0,0.20826132,0.00053131,2.034e-05,-0.8883572751408948,0.02642407472936671,-0.0066090065517873785,-165.04774654
23.0,0.20828165,0.00054302,1.993e-05,-2.1252496956134213,0.026492977492951292,-0.007281966854710366,-164.8819574
24.0,0.20825319,0.00055057,1.481e-05,-0.5626409172610493,0.026516126848742175,-0.007990714347407904,-164.99051208
25.0,0.20819871,0.00054468,1.542e-05,2.454335885591948,0.026377110197561893,-0.009163449848491432,-164.96952612
26.0,0.20827575,0.0005494,1.733e-05,-1.828432101463996,0.02651354091435141,-0.009874162605864444,-165.11337538
27.0,0.20826813,0.00054787,1.476e-05,-1.3332326569156414,0.026249944068490134,-0.007827961274505692,-165.1204343
28.0,0.20823154,0.0005639,9.28e-06,0.5724899930084856,0.026547046690615465,-0.006420045478493372,-164.97124315
29.0,0.20823408,0.00060805,5.64e-06,-0.0006531462382927389,0.026369086251397965,-0.0061569115434949905,-164.84704439
30.0,0.20826203,0.00063111,3.49e-06,-1.7449669092284628,0.026457228182688405,-0.009410822165407715,-165.10555334
31.0,0.20825959,0.00058386,1.62e-06,-1.0417071130350914,0.026489872285842545,-0.0072178800389243215,-164.91534417
32.0,0.20821782,0.00055397,4.12e-06,1.5193644179851948,0.026316622967342083,-0.006303948864891766,-164.9037065
