Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947078,0.00050685,0.00016564,1.2197225755386445,0.02699182324345637,0.0048535328246548685,85.886865
1.0,0.20950341,0.00050899,0.00016328,-0.36565119679726893,0.026797482115279485,0.0074165081435722405,85.7549948
2.0,0.20953309,0.0005143,0.00016607,-1.9246796202303365,0.026894429292406125,0.006295978428059726,85.69710992
3.0,0.20954062,0.00052428,0.00017495,-2.5472307729854147,0.026893890409884234,0.006510482038988851,85.82859677
4.0,0.20954001,0.00055072,0.00017681,-2.8212699451362084,0.026897866009189555,0.007692455041536067,85.80827956
5.0,0.20956826,0.00057892,0.00018906,-4.712564597287189,0.02693842021914218,0.013269073683737398,86.08754538
6.0,0.20956725,0.00060254,0.00019452,-4.986590437791782,0.02687050713376491,0.01298551346400546,85.85734754
7.0,0.20954397,0.00062302,0.00019715,-4.0765837258265165,0.026714092163151997,0.013329334873874733,85.70841855
8.0,0.20955373,0.0006298,0.00021856,-4.991358029725329,0.026762509644748893,0.03388621600341121,85.77531201
9.0,0.20952303,0.00067434,0.00025695,-4.596394425184278,0.026762222106101064,0.05607221587336043,85.60299906
10.0,0.20949274,0.00083949,0.00029688,-5.509632923968439,0.026891838341154356,0.10366422997538823,85.52403028
11.0,0.20944811,0.00122411,0.00033233,-7.898493046851701,0.026948654866592033,0.13594789372142288,85.57923176
12.0,0.20937726,0.00262116,0.00036988,-19.065426002474194,0.0263498388723589,0.13791671333069278,85.55929789
13.0,0.20899363,0.00378443,0.0003863,-12.359475177233072,0.025815139616265904,0.16514017232998338,85.42148587
14.0,0.20812512,0.00416667,0.0003942,24.193129944483758,0.025239476167101576,0.16189672791424034,85.24610617
15.0,0.20646648,0.00448735,0.00039043,94.96405504437877,0.024596915023919353,0.16545469758497222,84.93559785
16.0,0.20546836,0.00468489,0.0003772,136.92228156019982,0.024429248902604693,0.20090257285927837,84.93559785
17.0,0.20461815,0.00478208,0.00036365,174.09548255011336,0.02447309917635299,0.23545780769154862,84.63697318
18.0,0.20407249,0.00479551,0.0003581,200.3293013965143,0.02474445610783892,0.250192191077505,84.59653043
19.0,0.20405876,0.00476091,0.00034607,203.10774509532604,0.024949203619446345,0.26538971868704103,84.32933994
20.0,0.20406588,0.00470211,0.00033245,203.90112527470188,0.024993566433184497,0.26006969490980036,84.18846117
21.0,0.20405633,0.00464065,0.00031302,204.5380736593311,0.02491326306749245,0.23440145555840386,84.12386777
22.0,0.20416469,0.00457638,0.00030068,201.90875668334004,0.025093503669320852,0.2093449406259894,83.97608881
23.0,0.20431879,0.0044961,0.00027996,195.14883815784117,0.024983301010094938,0.19165058809684016,83.84172688
24.0,0.20443772,0.00440062,0.00026227,193.38667325404234,0.025301966364397212,0.17103171894882682,83.73994915
25.0,0.20455228,0.00427139,0.0002523,191.03480762652697,0.02550288662277271,0.15417246889570596,83.58622836
26.0,0.20463127,0.00412752,0.00024461,188.12506170287847,0.025400344793164217,0.1542855347769533,83.52144329
27.0,0.20473556,0.00398057,0.0002367,185.6594987961911,0.025510488666683703,0.14472330955580118,83.42771578
28.0,0.20498593,0.00382094,0.00022276,176.1753272476218,0.02555419987085795,0.13215684741004516,83.44496625
29.0,0.20538308,0.00366312,0.00021246,159.51564904199458,0.02555309351634068,0.11947155545293096,83.30983762
30.0,0.20575482,0.00352435,0.00020384,143.27868718731838,0.025458373366202575,0.0983242136667251,83.2141934
31.0,0.20601311,0.00341055,0.0002031,134.13760329141658,0.025776682973076257,0.08400273343160554,83.33686335
32.0,0.20617525,0.00329527,0.00019996,125.77277232779716,0.02538025881063269,0.06893545818905494,83.05318908
33.0,0.20629255,0.00320348,0.00019641,121.31813279492383,0.02538142588471392,0.05410407810706652,83.02923011
34.0,0.2063755,0.0031254,0.00019102,118.83411264989492,0.025488642091391685,0.04600419395748861,83.01255466
35.0,0.20648091,0.00306547,0.00019393,114.28586306758214,0.0254420280199212,0.042263165166447354,82.90272672
36.0,0.20655136,0.00302208,0.00018962,111.9943105706306,0.025549841157301897,0.03820538176840771,82.86765078
37.0,0.20663969,0.00298218,0.00018907,108.0837744011436,0.02549954522422399,0.03779239897976604,82.79194041
38.0,0.20661001,0.00295495,0.00018339,108.51711988751778,0.025200208627214168,0.038051777647092104,82.77238989
39.0,0.20667679,0.00293567,0.00017698,106.15039680385387,0.025295379875741788,0.039997535939550535,82.6037187
40.0,0.20665077,0.00292181,0.00017767,107.81290466366842,0.0253775356136072,0.039437243579155574,82.66754541
41.0,0.20667862,0.00290602,0.00018825,106.76583159980599,0.025437178524480162,0.04256084153000317,82.64147805
42.0,0.20669418,0.0028935,0.00019073,105.25880139774264,0.02522862123972662,0.040306478395935035,82.56557601
43.0,0.20669936,0.00288245,0.00018974,106.36446676994697,0.02552187650436139,0.036979864867300254,82.30413567
44.0,0.2066894,0.00287852,0.00018953,107.233264962328,0.02560955587044955,0.03650194295779445,82.44539779
45.0,0.20668676,0.00287766,0.00019309,106.89712125909153,0.025511678240091908,0.037618927607777894,82.35090359
46.0,0.2067019,0.00287594,0.00018927,106.30340538018324,0.02551863657198476,0.03727602694743111,82.19219934
47.0,0.20669204,0.00287342,0.00018325,107.16292461703343,0.025586367140287825,0.0355044087593445,82.17418219
48.0,0.2067141,0.00286227,0.00018521,105.15865604774761,0.025331650954534237,0.03637893138903023,82.09751347
49.0,0.20675994,0.00285389,0.00019318,103.03043600491333,0.025337138776946294,0.03472119255510401,82.08256307
50.0,0.20669519,0.00285234,0.00019891,106.34713658651916,0.02543741823571809,0.03897620156506304,82.12875598
51.0,0.20671623,0.00285384,0.00019342,106.07681233077102,0.025588629616330565,0.038086234502305014,81.81920601
52.0,0.20665728,0.00286312,0.00019405,108.56069892770226,0.025553282331854207,0.037128666388512394,81.92500885
53.0,0.20666795,0.00288205,0.00019214,108.39746517716262,0.025667434856177476,0.0372828717761943,81.881116
54.0,0.20667883,0.0028945,0.00018652,107.53303500173111,0.025589325501913708,0.03505695417093379,81.67698553
55.0,0.20665036,0.00290048,0.00018458,108.02756847999673,0.025401457423113876,0.03735858923456183,81.65302656
56.0,0.20663156,0.00290468,0.00018231,108.72757665402494,0.025363885111852707,0.03953780385160756,81.58095796
57.0,0.20656254,0.00291079,0.00017842,112.96920378190207,0.025605760718158257,0.03963772191321262,81.59149991
58.0,0.20657636,0.00291331,0.000174,112.01651092096058,0.025524191079116104,0.04100071655669454,81.48723045
59.0,0.2065541,0.0029132,0.00017314,113.04851694952565,0.025521521493595684,0.03953499153163766,81.3176009
60.0,0.20655227,0.00291278,0.00017895,113.44661083632359,0.025612235724861394,0.03930308816477553,81.28003323
61.0,0.20655349,0.00291502,0.00018784,112.82670597919382,0.02552175503194962,0.0381419417876278,81.20317284
62.0,0.20654343,0.00292178,0.00018529,112.25400509708298,0.025293389928202292,0.04149425542349627,81.11308709
63.0,0.20655064,0.00292344,0.00018859,112.5461670887937,0.02544946096940266,0.04057180079900676,81.03718505
64.0,0.20654912,0.00292326,0.00018741,112.58546676090629,0.025437896238803225,0.03631512426568432,81.01380109
65.0,0.20655227,0.00292251,0.00019039,111.4503181354822,0.025222903343220922,0.037591361009026436,81.07935285
66.0,0.20656244,0.00291253,0.00018367,111.39729019694921,0.02527089782896501,0.03712566366793066,80.83573799
67.0,0.20654516,0.00290454,0.00019218,112.51591654606464,0.025357851170291962,0.03994195632301553,80.97470004
68.0,0.20657108,0.00290028,0.0001932,111.99204275603564,0.025504096418182496,0.03683329757109649,80.93157389
69.0,0.20660015,0.00289469,0.00019142,111.1446984083551,0.02559941924581965,0.03592988778145236,80.59308148
70.0,0.20659273,0.00288852,0.00019189,110.64961896502055,0.02539493366612737,0.03601298659199706,80.72169326
71.0,0.20667466,0.00288481,0.00018808,107.00229839663592,0.025401223393840905,0.03643137975543145,80.56279734
72.0,0.20664508,0.00288751,0.00018246,107.844645263002,0.025264826278960616,0.03816941845415849,80.4978206
73.0,0.2066403,0.00288897,0.00018291,107.54723820716451,0.025149011858838353,0.03711570476257938,80.49475385
74.0,0.2066215,0.00289394,0.00018395,108.67549397932223,0.02522675642412003,0.03728681173726351,80.51928784
75.0,0.20664965,0.00290364,0.00018751,107.18993237734651,0.02521473034193698,0.03848708981351582,80.45871955
76.0,0.20664284,0.00290317,0.00019823,107.76856733623212,0.025316087273476562,0.03818531542110678,80.27471462
77.0,0.20665484,0.00289503,0.00020425,107.37098259399275,0.025356329062556682,0.04057572122665706,80.16891178
78.0,0.20666114,0.00288613,0.00020633,107.42692274311744,0.02542578858437728,0.039973614146442515,80.08131777
79.0,0.20664447,0.00286867,0.00019531,108.38089288119119,0.025389406396378465,0.043287177913858194,80.14322776
80.0,0.20663502,0.00285189,0.00019341,108.97413963915221,0.02538207291610142,0.042960159606405965,80.05352535
81.0,0.20666775,0.00283583,0.00019086,107.57226356943022,0.025360805358590578,0.03932577287312324,79.84000296
82.0,0.20671837,0.00281545,0.00018852,105.48595976457722,0.025362879974073032,0.04052970100066564,79.9580728
83.0,0.20671695,0.00279257,0.00019276,105.11473339720318,0.025221905723727265,0.041755761025297176,79.84575312
84.0,0.20674643,0.00277047,0.00019507,104.51882522869775,0.025362230904663455,0.04021624781655929,79.82160247
85.0,0.2067326,0.002744,0.00019296,104.70493359501552,0.025185411027086668,0.03927651479221876,79.62533054
86.0,0.20696376,0.0027147,0.0001908,93.94031202206493,0.025046009655952647,0.04153806203024847,79.667115
87.0,0.20681656,0.00268199,0.00018483,102.00466896580839,0.025288794983199053,0.03692122203729116,79.65465633
88.0,0.20684909,0.00265621,0.00019208,101.25153617172585,0.02544131073348681,0.033462332827387066,79.51511926
89.0,0.20693804,0.00263674,0.00018872,96.70977172804577,0.025263884093906654,0.033459876513259275,79.47525152
90.0,0.20700238,0.00261252,0.00018885,95.06445254646273,0.02555248693750008,0.030824351688671158,79.2061443
91.0,0.20701265,0.00258747,0.00019643,94.66420485338524,0.0255404789563519,0.029581980792171624,79.33034763
92.0,0.20705778,0.00256412,0.00019161,93.33468496651822,0.025666812421205998,0.030338589095548214,79.34433968
93.0,0.20707943,0.00254147,0.00018709,92.11213946217468,0.025526560751297993,0.033031310287334366,79.37960729
94.0,0.20713057,0.0025227,0.00019425,89.0047195921722,0.025297465031107302,0.0288011248329877,79.23317003
95.0,0.20710302,0.00250635,0.00020713,90.54835992302435,0.025389164316414106,0.029951307953520964,79.15496793
96.0,0.20717793,0.00249798,0.0002037,87.53907101387678,0.02547832440554165,0.03338603192338146,79.12966726
97.0,0.20717407,0.00249358,0.00020273,87.77127922820405,0.02547719154707278,0.03397140225010495,79.08385769
98.0,0.20715212,0.00249985,0.00020325,87.92430833860242,0.025249461951297077,0.035385953975029125,78.94393728
99.0,0.20714551,0.0024966,0.00021017,87.88248895858113,0.02517314876807965,0.032898853239652984,78.87953555
100.0,0.20716543,0.00250017,0.00022001,87.05494854193239,0.025251667361599815,0.03688840305206277,78.91365313
101.0,0.20714134,0.00249917,0.00022926,89.41046516205951,0.02564993101703747,0.03760381122240104,78.80900032
102.0,0.20710292,0.00249137,0.00023043,91.21597704314763,0.025639042894444766,0.03723499917093079,78.83794277
103.0,0.20712538,0.00248033,0.00021822,89.32319124622961,0.025313052470151167,0.042674978222628786,78.70492253
104.0,0.20715618,0.00246964,0.00020784,88.32442067568778,0.02535596105773151,0.04017675532609617,78.6501044
105.0,0.20715486,0.00246463,0.00019372,88.76710867165752,0.025387587184279095,0.03934536405109072,78.78350798
106.0,0.2071263,0.00245812,0.00019048,89.54946217585682,0.02520563903272451,0.039145418954499994,78.50290045
107.0,0.20713941,0.00244778,0.00020121,89.40030251139214,0.0253533418060911,0.04317920794261601,78.42795678
108.0,0.20714693,0.00243363,0.00021022,89.25840272809351,0.02541351795813693,0.04320718409688146,78.41568978
109.0,0.2071264,0.00242601,0.00021707,90.69043780191602,0.02556047707898481,0.045757272252974136,78.37486369
110.0,0.20717875,0.00241913,0.00021313,88.89293150459515,0.025705203957885937,0.046874610376587834,78.31947054
111.0,0.20720182,0.00242037,0.00021498,86.35074839657115,0.025287987127790484,0.044850172634321686,78.31736215
112.0,0.20720091,0.00242825,0.00021608,86.18364308288584,0.025253888536258758,0.04346694748491904,78.33978775
113.0,0.20723527,0.00243282,0.00021135,85.05963709170672,0.025378980409877037,0.041999325517231074,78.02832106
114.0,0.20714846,0.00243413,0.00020237,89.13980598752367,0.025365763181440924,0.041953457542261034,78.19660891
115.0,0.20712223,0.00244666,0.00020401,90.19569231050501,0.025364304977068507,0.04273207397035909,78.14351582
116.0,0.20713768,0.0024653,0.00020304,89.15168163860697,0.025315898673308225,0.04495670048681656,78.13891569
117.0,0.20715872,0.00248875,0.00019497,87.7907678075927,0.025230095947010138,0.04834503013451337,77.9614276
118.0,0.2071268,0.00251371,0.00018751,89.27574645590474,0.02527082790892404,0.05254746154626896,77.98059478
119.0,0.20712345,0.00254954,0.00018358,89.73325027618502,0.025436115300969307,0.04480209607371351,77.88782563
120.0,0.20707842,0.0025878,0.00019668,91.14768593783093,0.025411432754383387,0.048032924087568936,77.92577665
121.0,0.20699171,0.00263198,0.00020917,94.14919098243006,0.02531093559393109,0.0495711132648423,77.60280965
122.0,0.20694434,0.00267651,0.00021041,96.35034664079753,0.02543523671956341,0.04906347557001945,77.62753532
123.0,0.20687176,0.00271814,0.00021429,99.311431909742,0.025454199628498417,0.053323573111148936,77.603193
124.0,0.20678729,0.00276971,0.00021889,102.70556766690713,0.025469899180644778,0.06126753365733468,77.67238652
125.0,0.20674063,0.00283976,0.00021951,103.36128025774028,0.025269993377963918,0.06075248647257952,77.43490515
126.0,0.20663827,0.00289482,0.00022373,107.99674274413391,0.025396358723513552,0.0672316016079159,77.38717887
127.0,0.20657219,0.00295163,0.00023082,109.40862368934903,0.025172125475239903,0.06882398424265139,77.24169997
128.0,0.20641098,0.00300768,0.00023074,116.09501352717564,0.025142836856363236,0.07018888835101836,77.42781329
129.0,0.20631054,0.00306656,0.00023426,120.39367531717583,0.025213333202735163,0.08438346210628371,77.23345808
130.0,0.20626978,0.00312615,0.00023366,121.03128442409636,0.025074708942858147,0.08954604543521777,77.10657135
131.0,0.20614048,0.00318395,0.00023395,127.40580813479734,0.025283908299969467,0.09028222093865015,76.96396752
132.0,0.20605906,0.00323855,0.00023355,128.85296983131406,0.02494185866677109,0.0934233276883161,77.02166074
133.0,0.20601779,0.00327981,0.00023071,132.0491731174923,0.025262316877690382,0.10198705497100416,77.06842866
134.0,0.20589672,0.00332546,0.00021778,136.2927756617433,0.0250674332838949,0.11093743027485369,76.83133063
135.0,0.20569637,0.00335369,0.00020943,145.87046081078893,0.025176883561834926,0.109552899377256,76.78034593
136.0,0.20563782,0.00336865,0.00021222,148.17444783596744,0.0251471409534976,0.11279573641549422,76.6636178
137.0,0.20571395,0.00337998,0.00021442,143.43641685462046,0.02494913097427585,0.1165728595672783,76.62260004
138.0,0.20567655,0.00339025,0.00021026,146.47353907776338,0.025186817083601896,0.10906414951763449,76.69658535
139.0,0.20569291,0.00339103,0.00021798,144.7959742820267,0.025047548495006546,0.11454060499052374,76.38665204
140.0,0.20567573,0.00337301,0.00022419,145.535737517236,0.02502868238669189,0.10956100794346235,76.43552835
141.0,0.20570267,0.00335052,0.00022451,144.50306554340096,0.025025331536568284,0.10041377118327857,76.43054489
142.0,0.20571365,0.0033317,0.00021935,144.01843650145577,0.02498301823863862,0.09463166132018616,76.37802681
143.0,0.2057908,0.00330715,0.00021915,140.66226810260576,0.0249643944732655,0.09087144403585916,76.31650016
144.0,0.20589123,0.00328002,0.0002195,137.20867752224953,0.025116534295360895,0.08594584169445625,76.22564772
145.0,0.20592285,0.00325211,0.00021254,135.82554709504367,0.025057931445374618,0.07824281152343546,76.09205247
146.0,0.20595629,0.0032141,0.00021104,133.96132718525436,0.024922422810312077,0.07495139990892578,76.2258394
147.0,0.20597692,0.00317163,0.00020822,133.91059912320668,0.025004529399216262,0.07240490930964322,75.99276648
148.0,0.2060247,0.00313591,0.00019882,132.2686444143585,0.025011828701160747,0.07019020506307652,75.98969973
149.0,0.20615715,0.00310804,0.0001926,126.40436116586983,0.02496649066856717,0.06519560575108098,75.96190732
150.0,0.20624447,0.00307634,0.00019637,123.2098819157422,0.02507075762662909,0.0651513451908932,75.81527839
