Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2095077,0.00046923,-2.605e-05,6.656975738522168,0.02680733428353871,-0.001654708390148876,35.09082725
1.0,0.2094838,0.00046674,-2.663e-05,9.408514558667362,0.026891630714443976,-0.0033290738894505285,35.25346663
2.0,0.20955305,0.00046268,-2.611e-05,1.7997772667698648,0.02685037727550718,-0.0027186977947486414,35.37190637
3.0,0.20953373,0.00045869,-2.147e-05,3.8551746599672536,0.026855111153400828,-0.0014585198393766968,35.29192606
4.0,0.20955336,0.00045544,-2.581e-05,1.9276998355575623,0.026929147504692177,-0.003906727705941482,35.27987161
5.0,0.2094955,0.0004547,-2.608e-05,8.359824730885418,0.026859635195059708,-0.0011774012717029147,35.29039534
6.0,0.20946824,0.00045531,-1.961e-05,11.145526243929659,0.026927648804151175,-0.001625556980445604,35.32598466
7.0,0.20950607,0.00045037,-1.256e-05,6.809459045240976,0.027008044814496958,-0.0029969901085971197,35.52899687
8.0,0.2094778,0.00044725,-1.796e-05,10.189161332183478,0.026877280631760845,-0.0027816348872071,35.54908762
9.0,0.20949784,0.00044589,-2.538e-05,8.217006615148154,0.026660565107395603,-0.0027281843204578033,35.29345678
10.0,0.20948106,0.00044491,-2.638e-05,10.145612719194752,0.02672179335898732,-0.0018083798408679423,35.3271327
11.0,0.20954136,0.00043854,-1.993e-05,3.3903855100202023,0.026630683104470698,-0.0019659499863318897,35.57013507
12.0,0.20956302,0.00043584,-2.447e-05,1.2607831926343713,0.026952827878690015,-0.0021621961045126823,35.52823151
13.0,0.20954532,0.00043344,-2.33e-05,3.2019706113376287,0.026640673308569045,-0.00033573824836826056,35.77486935
14.0,0.20954593,0.00043093,-1.776e-05,2.9872316339754574,0.026683872216625132,-0.0010378143057892166,35.3962066
15.0,0.20956647,0.00042858,-6.74e-06,0.3610356267719207,0.02664358816183648,-0.0007653339670241368,35.42969118
16.0,0.20955285,0.00042112,-5.22e-06,1.991444316927962,0.02690605187472263,-0.0005390171152608727,35.46126235
17.0,0.20956403,0.00042081,-1.1e-05,0.9782970407607862,0.026870883240918835,-0.0027723582217127835,35.37955998
18.0,0.20956952,0.00041814,-1.006e-05,0.39487706108705406,0.026805974480362454,-0.002447185642195039,35.50316591
19.0,0.20953963,0.0004173,-1.223e-05,3.8164437759127567,0.02690752263076004,-5.570262114853371e-06,35.95262461
