Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20955075,0.00041777,-7.949e-05,1.9776531618388418,0.02668366665360134,0.012090448882614542,57.02434574
1.0,0.20953773,0.00041499,-7.717e-05,3.3856564343165183,0.026677496575984578,0.01212627002721219,57.05627996
2.0,0.20952258,0.00041699,-8.273e-05,5.257104689933319,0.026878814469630443,0.011292081214835438,57.14730202
3.0,0.20953916,0.00041821,-9.076e-05,3.65696630059711,0.026577398626076353,0.014046492148011383,58.10647572
4.0,0.2095476,0.00041877,-9.32e-05,2.8083092340776905,0.02654819471639295,0.014141497017423548,58.30075811
5.0,0.20952248,0.00041939,-8.918e-05,5.42676903544444,0.026717766244219957,0.011278807232996573,58.02597091
6.0,0.2095478,0.00041747,-8.663e-05,2.6087183596941914,0.0269726695351753,0.011168228633496024,57.83436564
7.0,0.20953702,0.00041952,-7.744e-05,3.366531527687485,0.026653417516634484,0.013833260469969536,58.49886496
8.0,0.2095417,0.00041952,-7.717e-05,2.857558897844244,0.0268010496851153,0.011668523168778559,58.33192743
9.0,0.2095178,0.00041877,-7.586e-05,5.484948545171843,0.02689096667098646,0.013467709598460281,57.60413336
10.0,0.20953671,0.0004152,-8.133e-05,3.6847393619446596,0.026922584740454104,0.012968812271331034,57.80071043
11.0,0.20952553,0.00041467,-8.749e-05,5.119938381318715,0.026637507380834227,0.016848992190896573,58.12827512
12.0,0.20949898,0.00040961,-9.335e-05,8.30985684229603,0.02642958903694293,0.015761625192477962,58.26652923
13.0,0.20955594,0.00040699,-9.358e-05,2.200145936724528,0.026795122632068662,0.013206642877603017,57.9940367
14.0,0.20956631,0.00040659,-8.967e-05,0.9112042275253942,0.026711567031019536,0.011977385481838097,57.66991401
15.0,0.20952837,0.00040557,-8.749e-05,5.050418362670745,0.026812434750901688,0.012109324078050125,57.65079173
16.0,0.20953132,0.00039908,-9.097e-05,5.005648427670392,0.02680203639684848,0.0111697877662147,58.0644067
17.0,0.20953376,0.0003966,-8.624e-05,4.5787872189307235,0.02660467089683684,0.014230394455871783,58.46999031
18.0,0.2095538,0.00039831,-8.544e-05,2.306344064219541,0.026558933854666848,0.012233138555269134,58.36328797
19.0,0.20958187,0.00039737,-8.145e-05,-0.9038902176113321,0.02673340156730665,0.011949901856480262,57.74009279
20.0,0.20958055,0.00040043,-7.551e-05,-1.0583942202920558,0.026808570601314904,0.013221088158647133,57.6530864
21.0,0.20958503,0.00040088,-7.644e-05,-1.5220741443398336,0.026692524027991826,0.013157714991437938,57.6404657
22.0,0.20958492,0.00040694,-7.988e-05,-1.5248004178873447,0.026795326307355486,0.012588523603181268,58.36003719
23.0,0.20958554,0.00040598,-7.538e-05,-1.736560573777915,0.026696800737162733,0.011607305430778751,57.90435319
24.0,0.2095835,0.00040638,-7.487e-05,-1.5366096651803507,0.026628444395289663,0.010736216840159522,57.54906118
25.0,0.20958035,0.00040796,-7.205e-05,-1.3395658954027472,0.026738741131212513,0.012677997941610881,57.42839958
26.0,0.20956835,0.00041061,-7.232e-05,-0.0675184156276866,0.026930954128706705,0.011681678256851893,57.70108333
27.0,0.2095594,0.00041029,-7.264e-05,0.9379166988533025,0.02668977947963769,0.0126740685754358,58.06574526
28.0,0.20955024,0.0004072,-7.584e-05,2.1343912638897136,0.026628599710940202,0.011444170563336907,57.98868246
29.0,0.20950681,0.00041223,-7.432e-05,6.763490725316332,0.026759705860649716,0.012597649255174623,57.44465352
30.0,0.20954658,0.00041234,-7.846e-05,2.528821795176656,0.026748750495346155,0.01042857083358642,57.69305197
31.0,0.20956194,0.00041231,-7.945e-05,0.8780155972971284,0.02691243511326328,0.011193144302140445,57.76743765
32.0,0.20953387,0.00041193,-8.039e-05,4.020489639688314,0.026791854344770126,0.010491592877846578,57.80587344
33.0,0.20951525,0.00041498,-8.197e-05,6.025044414265509,0.026604400660416732,0.012498906813007422,58.06574526
34.0,0.20958472,0.00041039,-8.076e-05,-1.5401373162792493,0.02664161676284342,0.010578491577017717,57.90014629
35.0,0.2095835,0.00040793,-6.888e-05,-1.7950361164695416,0.02655975654675763,0.013364980669156605,57.72708964
36.0,0.20917381,0.00041074,-7.102e-05,42.955552365692604,0.026488209073430233,0.011747508774857762,57.34081953
37.0,0.20952431,0.00041177,-7.584e-05,4.918901902695174,0.02685805058520941,0.01278209926488545,57.6689579
38.0,0.20950803,0.00040596,-8.161e-05,7.038467118756616,0.026709038055841468,0.01181788209339797,57.74487336
39.0,0.20951373,0.00040689,-7.905e-05,6.273352181340956,0.02663084481621668,0.015864853211118704,57.98371067
40.0,0.20952186,0.00040339,-8.006e-05,5.462825731823857,0.026453798821182095,0.01939528806651314,57.92404915
41.0,0.20952766,0.00041537,-7.407e-05,4.3395514913394315,0.026510013678291314,0.022718985652702417,57.69783254
42.0,0.20951637,0.00043877,-7.198e-05,5.011553219077651,0.026792331523058703,0.024682339049191468,57.48022097
43.0,0.20951088,0.00049493,-7.335e-05,4.362688330102713,0.026748202283944093,0.029330303565082642,57.76629032
44.0,0.20944965,0.00057304,-7.022e-05,9.05808782778353,0.02635774660629825,0.03278350808468098,57.94948178
45.0,0.20940876,0.00067868,-6.335e-05,10.84770473552372,0.026379495010573354,0.037914094385357866,57.69955355
46.0,0.20928336,0.000794,-5.62e-05,21.529710146444298,0.026302786028015484,0.03824231236395145,57.31500444
47.0,0.20925193,0.00091344,-4.914e-05,22.00436893982741,0.02635464252091078,0.025654947574158177,57.37122395
48.0,0.20907505,0.0010421,-3.783e-05,37.75665947704446,0.026274162133135,0.017784216299548142,57.0968192
49.0,0.20881508,0.00116895,-4.746e-05,62.8117587610043,0.026035156654717583,0.020089742341439207,56.94976884
50.0,0.20848127,0.00127375,-4.823e-05,96.18378687347005,0.026011834834534918,0.02769562062348626,56.88532675
51.0,0.20813607,0.00137987,-4.788e-05,130.60434062183074,0.02598754645010588,0.03677370337910349,57.32628659
52.0,0.2080127,0.00147814,-4.393e-05,141.18808036592685,0.025940027798967733,0.043366424052854555,57.1010261
53.0,0.20787854,0.00158459,-3.789e-05,152.93545943205777,0.025946026216148544,0.05066662999236619,56.91553996
54.0,0.20777887,0.00168558,-3.773e-05,160.91765378303637,0.02588289630920265,0.054767981330523866,57.3297286
55.0,0.20769984,0.00179321,-4.275e-05,168.0000781423708,0.02601912018381938,0.058413059303612715,56.89182832
56.0,0.20751768,0.00190079,-4.072e-05,184.63243457238147,0.025968573122090922,0.06515097460706315,56.68243933
57.0,0.20734192,0.00200413,-4.042e-05,199.28990386863012,0.025739931435242665,0.07826544888513233,56.56674952
58.0,0.20716718,0.00210989,-3.967e-05,213.20598484929155,0.025478952531777798,0.08468293824534277,56.50804411
59.0,0.20695807,0.0022245,-4.517e-05,234.02243744442032,0.02561734411682965,0.0922175305516935,56.5598655
60.0,0.20680357,0.00232819,-4.119e-05,248.35583921683025,0.02567095564053277,0.10430308381089388,56.49867419
61.0,0.20671447,0.00242208,-3.68e-05,255.45225518197765,0.025664215192463025,0.10947816354517637,56.31835106
62.0,0.20654035,0.00251902,-2.558e-05,266.59954138759207,0.025225743900420664,0.10750318012652767,56.24434783
63.0,0.20651024,0.00261749,-2.908e-05,266.18381337337735,0.025080279065497053,0.10532599227120813,56.39598753
64.0,0.2062816,0.00273107,-2.171e-05,290.1356652995347,0.025356202024666753,0.10225087420873813,56.30936359
65.0,0.20607574,0.00284722,-1.62e-05,307.58051340425595,0.025256271276628432,0.10039312715221893,56.30917237
66.0,0.20589724,0.00295084,-1.196e-05,321.7415346495494,0.025107437523585345,0.10429306481969114,56.15925367
67.0,0.205758,0.00305418,-1.309e-05,331.29510317285116,0.02491325532741493,0.11517610789054324,55.98734435
68.0,0.20562811,0.00315514,-9.26e-06,340.58784451943376,0.02479156708400533,0.1270516852041803,56.00264217
69.0,0.20556515,0.00325196,-1.053e-05,351.59683758062323,0.02526673761158449,0.13402984105173177,55.86687397
70.0,0.20541218,0.00333327,-1.398e-05,365.0128505890039,0.025214414786800775,0.13623374042012368,55.93915619
71.0,0.20530579,0.00343082,-1.737e-05,366.58790445574954,0.02471385353742192,0.1283383477334608,55.76686443
