Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20659649,0.0004587,6.615e-05,-15.413582993924235,0.004993376608302232,,62.76223638
1.0,0.20662202,0.00045784,4.666e-05,-28.116461130653274,0.004439962006465893,,63.84844056
2.0,0.20661185,0.00045336,4.373e-05,-19.948625573884,0.004718178792165282,,63.84805722
3.0,0.20661826,0.00045108,7.493e-05,-32.32704603127456,0.004538496809545408,,63.93871798
4.0,0.2066209,0.00045165,6.16e-05,-31.825596941077645,0.004675486869358204,,63.93469288
5.0,0.20660992,0.00045292,8.24e-05,-29.02686137056478,0.004693573411256723,,63.9542434
6.0,0.20661297,0.00045183,6.875e-05,-24.49358562321554,0.004179098384892834,,63.98395253
7.0,0.20661409,0.00045087,9.28e-05,-37.198319541976716,0.004988625974307608,,64.01711176
8.0,0.2066211,0.00045207,3.853e-05,-23.720986223727483,0.004328687151448433,,63.98395253
9.0,0.20660046,0.0004524,6.518e-05,-15.808370042930857,0.004525939230729585,,64.04260411
10.0,0.20659802,0.0004542,9.995e-05,-23.992818434292058,0.004606700796430218,,64.06809646
11.0,0.20658073,0.00045966,6.94e-05,-2.688672575924358,0.00467897351821712,,64.07844674
12.0,0.20658399,0.00045893,4.536e-05,1.4196976325251522,0.004447946644503775,,64.0297621
13.0,0.20657595,0.00045095,2.651e-05,13.320010744103334,0.004257458402775366,,64.100489
14.0,0.20656772,0.0004503,4.243e-05,17.74183870833485,0.004883314510919034,,64.13383989
15.0,0.20658002,0.00045614,5.673e-05,1.8296886932014702,0.004241655314857109,,64.13326488
16.0,0.20662263,0.00045813,7.168e-05,-37.284377638545195,0.0046943509160030815,,64.08573027
17.0,0.20659029,0.00045409,2.456e-05,2.7880379763053678,0.004364921227494748,,64.13997339
18.0,0.20658897,0.00045212,7.428e-05,-9.936320245066174,0.004900284579239431,,64.12636469
19.0,0.2065849,0.0004516,2.424e-05,7.537859283996624,0.004474760854452729,,64.09263045
20.0,0.20659527,0.00045058,4.211e-05,-4.942305814712071,0.004304267171624087,,64.13134816
21.0,0.20659598,0.00044736,2.131e-05,0.4137916506745943,0.0048599086312051,,64.17945778
22.0,0.20658175,0.00044599,8.24e-05,-4.73652860207723,0.004570298610341817,,64.17677438
23.0,0.20662548,0.00044719,0.00011327,-49.55774963398562,0.0047076078862770985,,64.15703218
24.0,0.20661581,0.00044736,3.334e-05,-17.611111330087713,0.004315439971493118,,0.04044293
25.0,0.2065969,0.00044685,3.496e-05,-4.23532172810387,0.004862784988524504,,0.02827115
26.0,0.20663097,0.00044233,4.211e-05,-33.74116587388475,0.004779265539917751,,-0.0923215
27.0,0.20659761,0.00044497,-4.03e-06,6.116956115268519,0.004370754110422945,,0.04729496
28.0,0.20664581,0.0004535,0.00016201,-80.11146091455005,0.004657550198873543,,-0.03749106
29.0,0.20659863,0.00045116,0.00016493,-41.53695424955738,0.0045728085060409455,,-0.03833392
30.0,0.20661185,0.0004517,8.662e-05,-31.667781909784743,0.004706835812332024,,0.02981876
31.0,0.20663005,0.00044861,4.048e-05,-33.90299876473161,0.0048237037959505775,,0.0360587
32.0,0.20661846,0.00044513,7.493e-05,-29.405558820628915,0.004234851453937009,,0.01786798
33.0,0.20661083,0.00044321,7.753e-05,-26.806348864077645,0.004700483863005923,,0.00228061
34.0,0.20660544,0.00044507,7.298e-05,-22.039575822588393,0.004832335900756939,,-0.00904335
35.0,0.20659009,0.00044536,6.843e-05,-7.453466951126391,0.004571588854651967,,-0.04988214
36.0,0.20660219,0.00044303,6.973e-05,-17.53601688362707,0.004703391203807623,,0.03790712
37.0,0.20662812,0.00044186,5.706e-05,-31.655599752956228,0.004255007625958443,,0.05858308
38.0,0.20658704,0.00044297,7.59e-05,-7.252119462599043,0.004967705520338704,,0.02515962
39.0,0.20658673,0.00044258,6.485e-05,-3.482401647441856,0.004753713189839381,,0.04907997
40.0,0.20659568,0.00044461,7.883e-05,-13.697576005378131,0.004285679948169198,,-0.03296749
41.0,0.20659365,0.00044952,7.525e-05,-13.042552973952237,0.004648139133907193,,0.06393273
42.0,0.2066271,0.000445,4.861e-05,-32.10738510151479,0.004673021228799291,,-0.05060092
43.0,0.20663422,0.00044142,5.543e-05,-41.23491202524377,0.0049162969543941675,,0.07517406
44.0,0.20662863,0.00044295,6.453e-05,-34.65276166210415,0.004324384787464028,,0.02885124
45.0,0.2066328,0.00044648,4.731e-05,-34.29385612252458,0.004375483129667265,,0.09060027
46.0,0.20662792,0.00044942,8.045e-05,-45.81525921695115,0.005049788809321761,,-0.02470105
47.0,0.20662812,0.00044918,7.753e-05,-40.137768109172725,0.004497443467014009,,0.02923037
48.0,0.206609,0.00045097,6.94e-05,-24.124008392322164,0.004658562322822581,,0.04569417
49.0,0.20661663,0.00045305,7.688e-05,-29.28773378031984,0.0041681329506488216,,0.04911231
50.0,0.20664978,0.00045646,5.868e-05,-57.05528295586258,0.004823541966462391,,-0.03474222
51.0,0.20663646,0.00045358,5.608e-05,-44.171325486588316,0.004773723087928709,,0.01786682
52.0,0.20661653,0.00045023,6.193e-05,-26.597445653537537,0.004421449900687819,,0.05328512
53.0,0.20663727,0.00044575,7.46e-05,-46.37335086214159,0.0045385014718377446,,-0.02477726
54.0,0.20661917,0.0004511,4.731e-05,-25.761467144826504,0.004572970675673159,,0.06764187
55.0,0.20665751,0.00044955,6.94e-05,-65.92763135591126,0.004860324343998537,,0.01454317
56.0,0.20658866,0.00044942,4.178e-05,0.2909953134131283,0.00465243295306427,,-0.03969996
57.0,0.20664256,0.00045531,3.821e-05,-39.53296275295018,0.004246502542761222,,-0.00462402
58.0,0.20661083,0.00045518,6.453e-05,-26.213836735476104,0.004893021240935578,,-0.07285918
59.0,0.20660971,0.00044968,6.258e-05,-22.153042922380592,0.004569042430216681,,-0.08033438
60.0,0.20652795,0.00044958,6.583e-05,42.82012887553737,0.0046657161876167644,,0.05268586
61.0,0.20660046,0.00045563,7.428e-05,-18.695504976595156,0.0045027542594533706,,0.05709431
62.0,0.20659202,0.00046274,4.666e-05,-5.525720569429574,0.0042779753090079874,,0.07798654
63.0,0.20659141,0.00045955,8.143e-05,-15.63442733076004,0.004969958635936274,,-0.02398287
64.0,0.20658409,0.00045739,9.02e-05,-10.277376877481956,0.00443271962504794,,0.05115248
65.0,0.2065487,0.0004561,5.283e-05,28.29072455780577,0.004629269991832556,,0.02297672
66.0,0.20657616,0.00045633,5.251e-05,5.962823992622704,0.004425024522095825,,0.02700183
67.0,0.20659161,0.00045347,6.388e-05,-9.02761367268648,0.004714858401082785,,0.09677037
68.0,0.20659792,0.00045075,6.031e-05,-12.83144236765391,0.004750276623931395,,0.02815186
69.0,0.20657565,0.00045513,6.583e-05,2.8304163152430997,0.00413458882037909,,0.0258518
70.0,0.20654717,0.00045536,6.193e-05,27.00554579442303,0.004607668866133109,,0.01626821
71.0,0.20656375,0.00045352,6.713e-05,12.756603346269864,0.0046657860910442285,,0.09236192
72.0,0.20657799,0.0004501,6.94e-05,1.156421161614931,0.004711559892568294,,-0.01861606
73.0,0.20658521,0.00044942,4.698e-05,1.5428838777214715,0.004380966054206523,,0.07568647
74.0,0.20657605,0.00045191,5.316e-05,6.474826453102152,0.004355108685864232,,0.0170349
75.0,0.20654982,0.00045054,6.16e-05,27.61150575464399,0.004936681184944521,,0.12571282
76.0,0.20658368,0.00044791,7.428e-05,-4.351613953935001,0.004549671333364802,,0.06571954
77.0,0.20658338,0.00045154,3.561e-05,5.983318259584365,0.004701665400446524,,0.03409369
78.0,0.20658602,0.00045114,5.543e-05,-1.4437653013327434,0.004070543068315225,,0.0653362
79.0,0.20657016,0.00045017,6.16e-05,10.138218566748748,0.004898069689340119,,-0.00500736
80.0,0.20657422,0.00045404,6.843e-05,3.727440128514981,0.004560855179049862,,0.0891035
81.0,0.20657738,0.00045314,4.276e-05,8.401792224131208,0.004586709667624512,,0.02546846
82.0,0.2066031,0.00045365,6.843e-05,-18.411150920672547,0.004393198898987166,,0.06092774
83.0,0.2065906,0.00044915,8.792e-05,-14.10132737679933,0.004671848444571385,,0.08948684
84.0,0.20662161,0.00044819,6.875e-05,-35.864155904185,0.004958600510637955,,0.07051134
85.0,0.20663493,0.00044845,4.666e-05,-35.643901302946354,0.0043256058622853305,,-0.00960748
86.0,0.20662944,0.00045727,0.00010092,-48.851573096871554,0.004506087343718138,,-0.03605819
87.0,0.20664002,0.00045415,0.0001019,-57.31965607565958,0.004539162344370431,,-0.00692408
88.0,0.20662466,0.00045207,9.702e-05,-46.04347716678304,0.004801173898547714,,10.95900298
89.0,0.20662619,0.00044729,7.33e-05,-38.97279077935595,0.004713422800022788,,188.91685594
90.0,0.2066152,0.00044311,5.121e-05,-21.173533685393746,0.004331283227319125,,309.42073344
91.0,0.20662792,0.00044424,3.496e-05,-28.298905239556987,0.004585465547920526,,262.14199891
92.0,0.20661429,0.00044586,9.475e-05,-33.67496179751016,0.004533726297451897,,278.2000766
93.0,0.20659995,0.00044495,9.085e-05,-22.789581757385047,0.004881827958432434,,-6.99494914
94.0,0.20659212,0.00044576,6.615e-05,-7.875823648400355,0.0042304015714607944,,172.82677728
95.0,0.20659171,0.0004489,6.973e-05,-9.822783751807469,0.004640127492824076,,200.90899169
96.0,0.20661744,0.00044664,7.883e-05,-31.53177677748736,0.0044704568204427045,,200.9747351
97.0,0.20661256,0.00044635,4.146e-05,-19.25260613542562,0.004856815968936318,,201.05677062
98.0,0.20662873,0.00044962,8.11e-05,-43.30160013681692,0.00467641251964399,,201.00061079
99.0,0.20660626,0.00044885,6.063e-05,-17.780678469452425,0.004334291301915232,,200.93122561
100.0,0.20658876,0.00044481,6.68e-05,-6.225060387905504,0.004855453448872807,,201.11388881
101.0,0.20663036,0.0004468,6.583e-05,-39.610442612227104,0.004643530096358116,,201.09433829
102.0,0.20659273,0.0004522,9.962e-05,-19.12440510081102,0.004557059853774075,,201.02035299
103.0,0.20657412,0.00045692,8.89e-05,-2.2175883122307645,0.004523002049103885,,201.1274975
104.0,0.20663046,0.00045591,7.2e-05,-42.06167253338594,0.004550412738230265,,201.10353853
105.0,0.20660432,0.00045493,3.821e-05,-12.924522555506346,0.004885279172463864,,201.08015458
106.0,0.20661917,0.00045038,5.251e-05,-25.311180733249945,0.004277075092246289,,201.05044545
107.0,0.20657677,0.00044785,6.323e-05,4.207477247482643,0.004640932393705171,,201.08168795
108.0,0.20660117,0.00044442,7.2e-05,-17.784091351826255,0.004759646670643676,,201.11523051
109.0,0.20659324,0.0004475,8.175e-05,-14.125028137113368,0.00463123378525217,,201.09932175
110.0,0.20660371,0.00044757,6.55e-05,-17.94572523059188,0.0045973597939671694,,201.04067019
111.0,0.20660107,0.00045061,5.121e-05,-12.181373916792,0.004510099176589852,,201.08877981
112.0,0.20660819,0.00044939,7.07e-05,-24.772284074368674,0.0048973171400728,,201.09625501
113.0,0.20659049,0.00044809,3.951e-05,-0.32337453957594336,0.004465569607880521,,201.07248771
114.0,0.20660605,0.00044511,3.951e-05,-11.334865166483766,0.0042436333778913685,,201.01939463
115.0,0.20658785,0.0004451,8.045e-05,-9.860278315962738,0.005059713062834453,,201.05121214
116.0,0.20662009,0.00045088,5.836e-05,-28.293553133059063,0.004390013693946008,,201.12328073
117.0,0.20658988,0.00045168,8.045e-05,-11.576566930742867,0.004560712447453631,,201.04795372
118.0,0.20657504,0.00044658,2.521e-05,15.620096557524198,0.004435704613681067,,201.19726603
119.0,0.20658246,0.00044641,5.901e-05,1.050296803367782,0.004757956822062804,,201.16909028
120.0,0.2066027,0.00044583,8.955e-05,-23.65893905022849,0.004638505320028051,,201.09625501
121.0,0.20656334,0.00044305,8.987e-05,7.651846398218709,0.004193105240841226,,201.13995617
122.0,0.20656029,0.00044479,6.615e-05,18.53980077860119,0.005000109173003356,,201.04814539
123.0,0.20659293,0.00044693,7.07e-05,-10.068325412694838,0.004347018316490744,,201.16104006
124.0,0.20659395,0.00044716,4.438e-05,-4.140706624069245,0.00444651787242056,,201.06520418
125.0,0.20663341,0.00044889,7.233e-05,-44.655510392623576,0.004688818774561633,,201.15989003
126.0,0.20659863,0.0004496,5.771e-05,-12.450609437335311,0.004737359055374839,,201.19592433
127.0,0.20661866,0.00045389,8.37e-05,-35.43030233106525,0.004532529555680945,,201.15375654
128.0,0.20660382,0.00044814,5.836e-05,-15.039618563471386,0.00427624297800967,,201.13478103
129.0,0.20659537,0.00044414,3.529e-05,-2.665736984725719,0.0050563410634592255,,201.16928195
130.0,0.20659863,0.0004422,7.298e-05,-14.698191387682193,0.004490193679336411,,201.0922299
