Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20958136,0.00045703,-7.62e-06,-5317.5564780390505,0.02684542161562904,,99.33168324
1.0,0.20956733,0.00045977,-7.58e-06,-5256.899028269741,0.026547688560813847,,99.57874818
2.0,0.20957292,0.00046337,-7.07e-06,-5305.021418439559,0.026786552885287994,,99.68186761
3.0,0.20958573,0.00046014,-7.2e-06,-5254.62409615198,0.02652444980598393,,99.76984496
4.0,0.20956987,0.0004639,-7.46e-06,-5269.267385504092,0.026607966184749556,,99.53351364
5.0,0.20957048,0.00045977,-7.24e-06,-5316.858943147253,0.02684840267306645,,99.35870897
6.0,0.20959458,0.0004569,-7.67e-06,-5309.910129268924,0.026798415396372986,,99.54923073
7.0,0.20956621,0.00045715,-7.48e-06,-5288.0407683660505,0.02670599609165876,,99.75470289
8.0,0.20959885,0.00046001,-7.71e-06,-5290.60349965166,0.026697859134956033,,99.63624972
9.0,0.20955777,0.00046602,-7.48e-06,-5230.033130573809,0.026417180832714608,,99.6166992
10.0,0.20960454,0.00046271,-7.69e-06,-5292.154689015645,0.026701707940639075,,99.64104152
11.0,0.2096695,0.00045985,-7.31e-06,-5317.453606023461,0.026788250598892026,,99.59504029
12.0,0.20957221,0.0004623,-7.51e-06,-5279.198973378324,0.02665685600568436,,99.76447815
13.0,0.20959783,0.00045764,-7.16e-06,-5289.590096346832,0.02669358970786472,,99.81412115
14.0,0.20958502,0.00045989,-7.94e-06,-5249.700271110688,0.02650023491382697,,99.72058531
15.0,0.20961217,0.00045879,-7.25e-06,-5259.189661846768,0.02653099046266703,,99.87603114
16.0,0.20961593,0.00045515,-7.61e-06,-5226.0092613106945,0.02636180337556668,,99.80204582
17.0,0.20961339,0.00045809,-7.5e-06,-5317.542345109857,0.026824731307286097,,99.44189452
18.0,0.20962985,0.0004574,-7.01e-06,-5299.745341512748,0.026724475545717885,,99.36445912
19.0,0.20961308,0.00045335,-7.06e-06,-5294.857704694041,0.02671103027494754,,99.68167594
20.0,0.20962477,0.00046071,-7.12e-06,-5278.855200599064,0.026621935009678094,,99.50955467
21.0,0.20962538,0.00045621,-7.76e-06,-5243.972871907466,0.0264463659594741,,99.62494109
22.0,0.20962274,0.00046091,-7.62e-06,-5296.915436424594,0.026714386189786398,,99.58085657
23.0,0.20960708,0.00045744,-7.51e-06,-5241.36106270949,0.026444486090726558,,99.51357977
24.0,0.20961013,0.0004549,-8.15e-06,-5254.090679504686,0.026507261460909294,,99.46700353
