Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-7.08,
5.0,175.0,,3.01,
10.0,350.0,,-1.5,
15.0,525.0,,-0.3,
20.0,700.0,,-0.03,
25.0,875.0,,1.76,
30.0,1050.0,,1.29,
35.0,1225.0,,0.56,
40.0,1400.0,,-0.38,
45.0,1575.0,,-0.96,
50.0,1750.0,,-0.05,
55.0,1925.0,,0.55,
60.0,2100.0,,0.29,
65.0,2275.0,,0.76,
70.0,2450.0,,0.5,
75.0,2625.0,,0.48,
80.0,2800.0,,0.48,
85.0,2975.0,,-0.31,
90.0,3150.0,,0.9,
95.0,3325.0,,0.53,
100.0,3500.0,0.9,3.6,0.0
105.0,3675.0,4.3,6.71,0.03
110.0,3850.0,78.0,9.73,0.42
115.0,4025.0,208.7,13.43,1.46
120.0,4200.0,299.3,13.67,2.96
125.0,4375.0,329.5,14.37,4.6
130.0,4550.0,330.4,14.69,6.26
135.0,4725.0,315.6,14.08,7.83
140.0,4900.0,311.3,12.84,9.39
145.0,5075.0,308.3,12.37,10.93
150.0,5250.0,291.2,11.5,12.39
155.0,5425.0,277.3,11.28,13.77
160.0,5600.0,263.7,11.2,15.09
165.0,5775.0,245.2,10.25,16.32
170.0,5950.0,233.9,10.16,17.49
175.0,6125.0,222.9,9.7,18.6
180.0,6300.0,206.2,8.84,19.63
185.0,6475.0,200.4,8.26,20.64
190.0,6650.0,192.6,9.03,21.6
195.0,6825.0,185.5,8.0,22.53
200.0,7000.0,176.1,7.29,23.41
205.0,7175.0,170.9,7.03,24.26
210.0,7350.0,166.8,6.7,25.1
215.0,7525.0,160.7,7.86,25.9
220.0,7700.0,155.0,6.96,26.67
225.0,7875.0,156.5,5.87,27.46
230.0,8050.0,154.5,5.88,28.23
235.0,8225.0,151.2,5.98,28.98
240.0,8400.0,148.8,6.66,29.73
245.0,8575.0,148.5,6.33,30.47
250.0,8750.0,146.7,5.55,31.2
255.0,8925.0,144.5,6.68,31.93
260.0,9100.0,144.5,6.28,32.65
265.0,9275.0,141.3,6.0,33.36
