Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
515.0,25750.0,17.9,2.14,18.5
520.0,26000.0,17.4,0.11,18.58
525.0,26250.0,18.0,-0.07,18.67
530.0,26500.0,17.6,2.94,18.76
535.0,26750.0,17.1,1.71,18.85
540.0,27000.0,15.8,3.27,18.93
545.0,27250.0,13.9,4.35,19.0
550.0,27500.0,14.4,3.63,19.07
555.0,27750.0,14.3,4.31,19.14
560.0,28000.0,12.9,0.66,19.2
565.0,28250.0,12.8,0.45,19.27
570.0,28500.0,11.7,0.05,19.33
575.0,28750.0,11.7,0.73,19.38
580.0,29000.0,11.6,2.65,19.44
585.0,29250.0,11.2,2.57,19.5
590.0,29500.0,11.4,3.23,19.56
595.0,29750.0,10.4,1.58,19.61
600.0,30000.0,11.1,2.42,19.66
605.0,30250.0,9.8,2.03,19.71
610.0,30500.0,10.8,4.22,19.77
615.0,30750.0,10.2,2.37,19.82
620.0,31000.0,9.9,1.48,19.87
625.0,31250.0,10.0,2.34,19.92
630.0,31500.0,9.8,1.3,19.97
635.0,31750.0,10.0,2.23,20.02
640.0,32000.0,10.6,0.99,20.07
645.0,32250.0,8.7,0.86,20.11
650.0,32500.0,8.8,1.44,20.16
655.0,32750.0,9.0,2.13,20.2
660.0,33000.0,9.0,2.46,20.25
665.0,33250.0,8.1,4.26,20.29
670.0,33500.0,8.9,2.36,20.33
675.0,33750.0,7.5,0.68,20.37
680.0,34000.0,6.5,0.47,20.4
685.0,34250.0,6.7,1.94,20.44
690.0,34500.0,7.1,4.84,20.47
695.0,34750.0,7.5,2.79,20.51
700.0,35000.0,6.1,2.02,20.54
705.0,35250.0,7.3,0.02,20.58
710.0,35500.0,6.2,1.46,20.61
715.0,35750.0,5.6,1.12,20.63
720.0,36000.0,4.8,-1.12,20.66
725.0,36250.0,6.0,0.3,20.69
730.0,36500.0,5.7,3.35,20.72
735.0,36750.0,6.1,3.68,20.75
740.0,37000.0,6.4,3.6,20.78
745.0,37250.0,5.9,2.1,20.81
750.0,37500.0,6.2,-1.6,20.84
755.0,37750.0,6.0,0.34,20.87
760.0,38000.0,5.8,-0.72,20.9
765.0,38250.0,5.8,-1.51,20.93
770.0,38500.0,5.0,8.82,20.95
775.0,38750.0,5.3,-10.65,20.98
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
