Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-9.08,
5.0,375.0,,2.45,
10.0,750.0,,0.16,
15.0,1125.0,,2.35,
20.0,1500.0,,1.89,
25.0,1875.0,1.0,5.23,0.01
30.0,2250.0,26.3,8.54,0.14
35.0,2625.0,131.2,10.9,0.79
40.0,3000.0,204.5,13.42,1.81
45.0,3375.0,232.6,13.23,2.98
50.0,3750.0,237.3,13.18,4.16
55.0,4125.0,234.5,11.66,5.34
60.0,4500.0,231.5,11.44,6.49
65.0,4875.0,240.7,14.12,7.7
70.0,5250.0,252.2,14.95,8.96
75.0,5625.0,264.5,13.55,10.28
80.0,6000.0,269.8,11.26,11.63
85.0,6375.0,252.3,10.36,12.89
90.0,6750.0,247.7,13.45,14.13
95.0,7125.0,228.5,12.64,15.27
100.0,7500.0,212.5,10.63,16.33
105.0,7875.0,200.5,8.31,17.34
110.0,8250.0,187.9,8.7,18.28
115.0,8625.0,174.1,8.37,19.15
120.0,9000.0,164.6,9.52,19.97
125.0,9375.0,156.1,8.95,20.75
130.0,9750.0,146.5,6.93,21.48
135.0,10125.0,139.7,7.19,22.18
140.0,10500.0,133.6,4.8,22.85
145.0,10875.0,130.1,7.33,23.5
150.0,11250.0,125.4,8.77,24.13
155.0,11625.0,119.6,9.0,24.73
160.0,12000.0,118.0,8.0,25.32
165.0,12375.0,114.8,5.02,25.89
170.0,12750.0,111.9,4.11,26.45
175.0,13125.0,110.5,5.81,27.0
180.0,13500.0,107.9,6.14,27.54
185.0,13875.0,105.9,5.6,28.07
190.0,14250.0,103.9,4.3,28.59
195.0,14625.0,101.3,3.28,29.1
200.0,15000.0,99.3,5.33,29.59
205.0,15375.0,97.8,5.36,30.08
210.0,15750.0,97.3,6.73,30.57
215.0,16125.0,96.4,6.46,31.05
220.0,16500.0,94.0,5.77,31.52
225.0,16875.0,95.1,5.37,32.0
230.0,17250.0,94.8,5.2,32.47
235.0,17625.0,92.3,5.62,32.93
240.0,18000.0,90.5,6.97,33.38
245.0,18375.0,90.2,6.04,33.84
250.0,18750.0,89.0,3.39,34.28
255.0,19125.0,89.1,3.33,34.73
260.0,19500.0,88.2,2.91,35.17
265.0,19875.0,87.0,3.26,35.6
270.0,20250.0,86.8,6.05,36.04
275.0,20625.0,87.1,4.67,36.47
280.0,21000.0,85.5,5.14,36.9
285.0,21375.0,87.0,6.22,37.33
290.0,21750.0,87.9,4.48,37.77
295.0,22125.0,87.6,4.34,38.21
300.0,22500.0,86.4,2.89,38.64
305.0,22875.0,85.3,4.43,39.07
310.0,23250.0,85.0,6.88,39.5
315.0,23625.0,84.6,5.37,39.92
320.0,24000.0,84.0,3.89,40.34
325.0,24375.0,83.8,4.04,40.76
330.0,24750.0,83.6,4.9,41.18
335.0,25125.0,81.7,6.57,41.58
340.0,25500.0,80.6,4.4,41.99
345.0,25875.0,79.1,1.75,42.38
350.0,26250.0,78.6,1.08,42.78
355.0,26625.0,78.3,1.64,43.17
360.0,27000.0,77.0,5.09,43.55
365.0,27375.0,75.7,5.66,43.93
370.0,27750.0,76.1,6.45,44.31
375.0,28125.0,74.9,5.02,44.69
380.0,28500.0,74.8,4.7,45.06
385.0,28875.0,74.1,4.33,45.43
390.0,29250.0,75.2,1.93,45.81
395.0,29625.0,74.4,4.15,46.18
400.0,30000.0,74.2,4.52,46.55
405.0,30375.0,75.0,4.28,46.92
410.0,30750.0,75.0,2.92,47.3
415.0,31125.0,76.8,2.78,47.68
420.0,31500.0,75.6,3.36,48.06
425.0,31875.0,78.1,6.15,48.45
430.0,32250.0,77.7,6.43,48.84
435.0,32625.0,78.1,3.45,49.23
440.0,33000.0,76.8,2.46,49.62
445.0,33375.0,78.9,2.6,50.01
450.0,33750.0,79.7,2.87,50.41
455.0,34125.0,79.6,6.11,50.81
460.0,34500.0,79.8,5.21,51.21
465.0,34875.0,81.2,3.97,51.61
470.0,35250.0,83.0,6.41,52.03
475.0,35625.0,83.9,4.92,52.45
480.0,36000.0,83.1,5.69,52.86
485.0,36375.0,83.6,3.61,53.28
490.0,36750.0,85.1,2.68,53.71
495.0,37125.0,84.9,4.35,54.13
500.0,37500.0,85.3,3.92,54.56
505.0,37875.0,85.9,6.81,54.99
510.0,38250.0,85.9,7.93,55.41
515.0,38625.0,87.2,6.47,55.85
520.0,39000.0,86.4,4.62,56.28
525.0,39375.0,85.8,4.88,56.71
530.0,39750.0,86.3,5.16,57.14
535.0,40125.0,86.7,5.88,57.58
540.0,40500.0,86.3,6.39,58.01
545.0,40875.0,86.3,2.53,58.44
550.0,41250.0,87.8,3.62,58.88
555.0,41625.0,85.9,5.55,59.31
560.0,42000.0,86.3,4.25,59.74
565.0,42375.0,87.4,7.51,60.18
570.0,42750.0,86.9,4.66,60.61
575.0,43125.0,85.7,2.33,61.04
580.0,43500.0,85.2,2.83,61.47
585.0,43875.0,84.9,2.71,61.89
590.0,44250.0,85.2,6.96,62.32
595.0,44625.0,85.6,8.74,62.74
600.0,45000.0,85.2,6.02,63.17
605.0,45375.0,86.0,5.37,63.6
610.0,45750.0,85.7,2.95,64.03
615.0,46125.0,85.9,4.7,64.46
620.0,46500.0,85.9,6.64,64.89
625.0,46875.0,86.7,3.15,65.32
630.0,47250.0,87.1,6.39,65.76
635.0,47625.0,86.6,3.6,66.19
640.0,48000.0,86.5,5.69,66.62
645.0,48375.0,86.7,5.66,67.06
650.0,48750.0,88.3,3.95,67.5
655.0,49125.0,87.5,6.4,67.93
660.0,49500.0,87.3,4.72,68.37
665.0,49875.0,87.9,6.32,68.81
670.0,50250.0,87.6,5.59,69.25
675.0,50625.0,89.5,3.46,69.7
680.0,51000.0,89.9,3.7,70.15
685.0,51375.0,91.1,4.94,70.6
690.0,51750.0,90.4,5.4,71.05
695.0,52125.0,91.8,7.7,71.51
700.0,52500.0,92.9,4.78,71.98
705.0,52875.0,94.5,2.53,72.45
710.0,53250.0,93.5,5.58,72.92
715.0,53625.0,95.8,3.46,73.4
720.0,54000.0,97.3,6.15,73.88
725.0,54375.0,97.5,4.66,74.37
730.0,54750.0,98.8,3.69,74.86
735.0,55125.0,98.9,7.8,75.36
740.0,55500.0,101.4,6.08,75.86
745.0,55875.0,102.4,6.04,76.38
750.0,56250.0,103.0,3.41,76.89
755.0,56625.0,104.5,4.32,77.42
760.0,57000.0,104.9,5.75,77.94
765.0,57375.0,107.4,5.42,78.48
770.0,57750.0,107.6,6.75,79.01
775.0,58125.0,108.0,5.06,79.55
780.0,58500.0,109.5,5.73,80.1
785.0,58875.0,110.0,4.85,80.65
790.0,59250.0,113.0,4.69,81.22
795.0,59625.0,113.7,6.47,81.79
800.0,60000.0,115.6,5.59,82.36
805.0,60375.0,116.1,7.54,82.94
810.0,60750.0,117.6,6.65,83.53
815.0,61125.0,117.8,6.74,84.12
820.0,61500.0,119.2,4.54,84.72
825.0,61875.0,122.3,2.1,85.33
830.0,62250.0,122.0,4.89,85.94
835.0,62625.0,123.2,5.21,86.55
840.0,63000.0,123.7,6.1,87.17
845.0,63375.0,125.5,7.28,87.8
850.0,63750.0,125.6,7.91,88.43
855.0,64125.0,127.6,6.96,89.07
860.0,64500.0,128.8,5.01,89.71
865.0,64875.0,129.7,4.31,90.36
870.0,65250.0,129.7,5.13,91.01
875.0,65625.0,131.2,7.44,91.66
880.0,66000.0,130.3,7.06,92.32
885.0,66375.0,133.4,7.01,92.98
890.0,66750.0,133.6,8.06,93.65
895.0,67125.0,131.8,5.85,94.31
900.0,67500.0,132.5,3.72,94.97
905.0,67875.0,131.5,4.56,95.63
910.0,68250.0,132.8,6.33,96.29
915.0,68625.0,130.9,6.96,96.95
920.0,69000.0,131.3,5.79,97.6
925.0,69375.0,130.5,4.34,98.26
930.0,69750.0,131.3,5.87,98.91
935.0,70125.0,130.3,8.23,99.56
940.0,70500.0,131.3,6.49,100.22
945.0,70875.0,131.3,3.95,100.88
950.0,71250.0,130.7,4.31,101.53
955.0,71625.0,131.2,5.01,102.19
960.0,72000.0,130.6,8.64,102.84
965.0,72375.0,131.0,6.25,103.5
970.0,72750.0,131.6,3.95,104.15
975.0,73125.0,130.9,4.38,104.81
980.0,73500.0,130.7,6.11,105.46
985.0,73875.0,131.1,9.96,106.12
990.0,74250.0,132.3,6.74,106.78
995.0,74625.0,131.9,6.7,107.44
1000.0,75000.0,133.0,5.74,108.1
1005.0,75375.0,133.5,4.64,108.77
1010.0,75750.0,133.9,6.22,109.44
1015.0,76125.0,131.9,3.04,110.1
1020.0,76500.0,134.7,5.71,110.77
1025.0,76875.0,133.6,6.25,111.44
1030.0,77250.0,134.7,4.55,112.11
1035.0,77625.0,133.0,7.22,112.78
1040.0,78000.0,135.1,6.42,113.46
1045.0,78375.0,135.4,8.44,114.13
1050.0,78750.0,134.4,7.14,114.8
1055.0,79125.0,133.8,4.18,115.47
1060.0,79500.0,135.1,5.3,116.15
1065.0,79875.0,135.6,5.95,116.83
1070.0,80250.0,139.2,6.25,117.52
1075.0,80625.0,140.1,4.83,118.22
1080.0,81000.0,137.5,5.38,118.91
1085.0,81375.0,137.5,4.24,119.6
1090.0,81750.0,139.7,6.11,120.3
1095.0,82125.0,139.5,5.86,120.99
1100.0,82500.0,140.9,5.07,121.7
1105.0,82875.0,140.4,8.29,122.4
1110.0,83250.0,139.6,7.48,123.1
1115.0,83625.0,142.1,5.17,123.81
1120.0,84000.0,141.4,4.78,124.52
1125.0,84375.0,144.0,6.18,125.24
1130.0,84750.0,144.1,5.6,125.96
1135.0,85125.0,144.2,6.19,126.68
1140.0,85500.0,145.4,3.42,127.4
1145.0,85875.0,144.1,4.61,128.12
1150.0,86250.0,146.4,8.06,128.86
1155.0,86625.0,145.7,6.33,129.59
1160.0,87000.0,146.0,5.26,130.32
1165.0,87375.0,147.7,4.6,131.05
1170.0,87750.0,144.3,5.81,131.78
1175.0,88125.0,149.6,8.8,132.52
1180.0,88500.0,148.7,9.54,133.27
1185.0,88875.0,150.4,6.1,134.02
1190.0,89250.0,149.7,3.74,134.77
1195.0,89625.0,149.9,4.56,135.52
1200.0,90000.0,149.9,6.82,136.27
1205.0,90375.0,151.5,9.26,137.02
1210.0,90750.0,151.0,7.49,137.78
1215.0,91125.0,151.3,3.33,138.54
1220.0,91500.0,153.9,3.9,139.31
1225.0,91875.0,151.2,5.68,140.06
1230.0,92250.0,152.7,7.5,140.82
1235.0,92625.0,152.5,8.22,141.59
1240.0,93000.0,153.0,5.85,142.35
1245.0,93375.0,153.8,3.44,143.12
1250.0,93750.0,155.1,4.97,143.9
1255.0,94125.0,153.8,5.47,144.67
1260.0,94500.0,154.9,5.83,145.44
1265.0,94875.0,157.2,7.76,146.23
1270.0,95250.0,156.5,6.81,147.01
1275.0,95625.0,156.5,7.67,147.79
1280.0,96000.0,158.0,5.71,148.58
1285.0,96375.0,157.7,4.58,149.37
1290.0,96750.0,158.1,6.15,150.16
1295.0,97125.0,161.7,6.28,150.97
1300.0,97500.0,159.1,5.71,151.76
1305.0,97875.0,159.8,3.75,152.56
1310.0,98250.0,158.4,5.36,153.35
1315.0,98625.0,158.9,7.68,154.15
1320.0,99000.0,161.1,8.23,154.95
1325.0,99375.0,159.3,8.56,155.75
1330.0,99750.0,158.9,6.55,156.55
1335.0,100125.0,157.0,3.89,157.33
1340.0,100500.0,159.4,2.82,158.13
1345.0,100875.0,160.3,4.07,158.93
1350.0,101250.0,162.3,7.14,159.74
1355.0,101625.0,159.5,7.3,160.54
1360.0,102000.0,159.1,4.83,161.33
1365.0,102375.0,163.2,5.01,162.15
1370.0,102750.0,161.7,6.43,162.96
1375.0,103125.0,160.0,6.57,163.76
1380.0,103500.0,161.5,4.94,164.57
1385.0,103875.0,159.9,4.15,165.36
1390.0,104250.0,161.1,7.44,166.17
1395.0,104625.0,160.9,9.07,166.97
1400.0,105000.0,161.5,6.38,167.78
1405.0,105375.0,161.1,4.0,168.59
1410.0,105750.0,161.0,4.76,169.39
1415.0,106125.0,158.9,5.13,170.19
1420.0,106500.0,161.2,7.7,170.99
1425.0,106875.0,160.3,5.5,171.8
1430.0,107250.0,161.5,3.32,172.6
1435.0,107625.0,159.7,4.6,173.4
1440.0,108000.0,159.7,5.02,174.2
1445.0,108375.0,161.2,7.82,175.01
1450.0,108750.0,161.0,6.11,175.81
1455.0,109125.0,159.9,6.66,176.61
1460.0,109500.0,159.9,5.77,177.41
1465.0,109875.0,158.7,5.1,178.2
1470.0,110250.0,158.9,4.89,179.0
1475.0,110625.0,158.8,5.37,179.79
1480.0,111000.0,158.4,5.37,180.58
1485.0,111375.0,159.5,4.88,181.38
1490.0,111750.0,160.2,3.93,182.18
1495.0,112125.0,159.9,5.42,182.98
1500.0,112500.0,158.6,8.44,183.77
1505.0,112875.0,158.7,7.65,184.57
1510.0,113250.0,157.3,7.38,185.35
1515.0,113625.0,154.6,6.45,186.13
1520.0,114000.0,156.6,4.79,186.91
1525.0,114375.0,156.1,5.12,187.69
1530.0,114750.0,154.9,4.3,188.47
1535.0,115125.0,154.2,6.16,189.24
1540.0,115500.0,155.1,6.15,190.01
1545.0,115875.0,156.7,5.14,190.79
1550.0,116250.0,155.3,5.66,191.57
1555.0,116625.0,154.2,4.82,192.34
1560.0,117000.0,153.8,4.63,193.11
1565.0,117375.0,152.4,1.97,193.87
1570.0,117750.0,152.8,3.1,194.64
1575.0,118125.0,152.0,6.4,195.4
1580.0,118500.0,150.5,7.34,196.15
1585.0,118875.0,149.8,6.3,196.9
1590.0,119250.0,150.6,6.03,197.65
1595.0,119625.0,150.2,5.54,198.4
1600.0,120000.0,149.4,5.63,199.15
1605.0,120375.0,150.4,4.94,199.9
1610.0,120750.0,149.3,2.73,200.65
1615.0,121125.0,146.3,3.97,201.38
1620.0,121500.0,148.4,6.46,202.12
1625.0,121875.0,147.4,5.87,202.86
1630.0,122250.0,148.5,6.83,203.6
1635.0,122625.0,147.8,6.56,204.34
1640.0,123000.0,146.4,6.64,205.07
1645.0,123375.0,145.8,4.82,205.8
1650.0,123750.0,146.8,2.15,206.54
1655.0,124125.0,145.1,3.2,207.26
1660.0,124500.0,145.3,4.7,207.99
1665.0,124875.0,145.1,8.19,208.71
1670.0,125250.0,146.1,5.67,209.44
1675.0,125625.0,144.6,4.32,210.17
1680.0,126000.0,142.5,3.56,210.88
1685.0,126375.0,143.5,3.73,211.6
1690.0,126750.0,143.0,4.89,212.31
1695.0,127125.0,142.0,5.72,213.02
1700.0,127500.0,142.8,4.6,213.74
1705.0,127875.0,141.9,3.57,214.44
1710.0,128250.0,141.8,4.51,215.15
1715.0,128625.0,141.1,4.81,215.86
1720.0,129000.0,141.4,5.86,216.57
1725.0,129375.0,141.0,4.65,217.27
1730.0,129750.0,140.8,4.39,217.98
1735.0,130125.0,139.9,4.33,218.68
1740.0,130500.0,139.6,7.01,219.37
1745.0,130875.0,139.4,4.35,220.07
1750.0,131250.0,139.1,3.04,220.77
1755.0,131625.0,136.9,3.17,221.45
1760.0,132000.0,137.4,4.27,222.14
1765.0,132375.0,137.0,5.6,222.82
1770.0,132750.0,137.6,4.6,223.51
1775.0,133125.0,135.7,3.89,224.19
1780.0,133500.0,136.8,4.48,224.87
1785.0,133875.0,135.2,4.84,225.55
1790.0,134250.0,136.0,3.95,226.23
1795.0,134625.0,134.9,4.78,226.9
1800.0,135000.0,135.3,4.36,227.58
1805.0,135375.0,134.3,4.7,228.25
1810.0,135750.0,134.2,5.02,228.92
1815.0,136125.0,134.5,6.16,229.6
1820.0,136500.0,131.6,5.96,230.25
1825.0,136875.0,133.3,5.66,230.92
1830.0,137250.0,134.3,2.86,231.59
1835.0,137625.0,130.9,4.42,232.25
1840.0,138000.0,131.6,4.93,232.9
1845.0,138375.0,131.1,4.62,233.56
1850.0,138750.0,130.2,6.7,234.21
1855.0,139125.0,129.0,2.76,234.85
1860.0,139500.0,129.7,5.24,235.5
1865.0,139875.0,127.8,2.4,236.14
1870.0,140250.0,127.0,2.85,236.78
1875.0,140625.0,127.5,5.63,237.42
1880.0,141000.0,127.1,4.54,238.05
1885.0,141375.0,125.9,6.26,238.68
1890.0,141750.0,125.6,5.08,239.31
1895.0,142125.0,125.8,3.39,239.94
1900.0,142500.0,124.3,3.87,240.56
1905.0,142875.0,122.6,2.25,241.17
1910.0,143250.0,122.6,3.29,241.78
1915.0,143625.0,121.3,3.06,242.39
1920.0,144000.0,122.0,3.42,243.0
1925.0,144375.0,120.8,4.59,243.61
1930.0,144750.0,119.1,4.04,244.2
1935.0,145125.0,119.6,4.95,244.8
1940.0,145500.0,117.9,4.51,245.39
1945.0,145875.0,117.9,3.41,245.98
1950.0,146250.0,117.5,3.14,246.57
1955.0,146625.0,116.9,2.96,247.15
1960.0,147000.0,116.1,3.41,247.73
1965.0,147375.0,114.4,4.17,248.3
1970.0,147750.0,114.4,3.48,248.87
1975.0,148125.0,114.0,4.83,249.44
1980.0,148500.0,111.3,2.77,250.0
1985.0,148875.0,114.0,5.37,250.57
1990.0,149250.0,112.2,4.48,251.13
1995.0,149625.0,112.3,5.04,251.69
2000.0,150000.0,111.5,3.31,252.25
2005.0,150375.0,111.3,1.34,252.81
2010.0,150750.0,110.3,1.69,253.36
2015.0,151125.0,110.1,2.93,253.91
2020.0,151500.0,108.6,3.41,254.45
2025.0,151875.0,108.9,3.98,255.0
2030.0,152250.0,108.5,4.77,255.54
2035.0,152625.0,107.4,4.82,256.08
2040.0,153000.0,107.2,4.44,256.61
2045.0,153375.0,106.6,2.53,257.15
2050.0,153750.0,104.5,4.61,257.67
2055.0,154125.0,104.9,2.5,258.19
2060.0,154500.0,105.2,3.91,258.72
2065.0,154875.0,102.6,1.18,259.23
2070.0,155250.0,103.3,2.38,259.75
2075.0,155625.0,101.9,3.72,260.26
2080.0,156000.0,101.5,2.91,260.76
2085.0,156375.0,101.7,3.1,261.27
2090.0,156750.0,99.2,1.77,261.77
2095.0,157125.0,100.4,3.76,262.27
2100.0,157500.0,99.2,4.93,262.77
2105.0,157875.0,97.7,3.59,263.26
2110.0,158250.0,98.8,1.68,263.75
2115.0,158625.0,97.6,3.27,264.24
2120.0,159000.0,97.2,4.02,264.72
2125.0,159375.0,95.6,3.86,265.2
2130.0,159750.0,94.8,1.11,265.68
2135.0,160125.0,94.0,1.31,266.15
2140.0,160500.0,93.3,3.19,266.61
2145.0,160875.0,92.8,3.62,267.08
2150.0,161250.0,91.5,4.63,267.53
2155.0,161625.0,91.2,2.63,267.99
2160.0,162000.0,89.6,3.99,268.44
2165.0,162375.0,89.0,2.21,268.88
2170.0,162750.0,88.2,0.63,269.32
2175.0,163125.0,87.9,3.09,269.76
2180.0,163500.0,86.5,2.01,270.2
2185.0,163875.0,86.0,2.76,270.63
2190.0,164250.0,85.3,3.4,271.05
2195.0,164625.0,84.8,4.66,271.48
2200.0,165000.0,83.1,5.3,271.89
2205.0,165375.0,81.8,2.34,272.3
2210.0,165750.0,82.8,-0.97,272.71
2215.0,166125.0,80.8,1.26,273.12
2220.0,166500.0,80.3,2.14,273.52
2225.0,166875.0,80.1,2.84,273.92
2230.0,167250.0,78.1,2.71,274.31
2235.0,167625.0,75.9,-0.07,274.69
2240.0,168000.0,76.9,4.34,275.08
2245.0,168375.0,76.7,5.29,275.46
2250.0,168750.0,76.8,3.49,275.84
2255.0,169125.0,75.3,3.08,276.22
2260.0,169500.0,74.2,-1.21,276.59
2265.0,169875.0,73.3,-0.45,276.96
2270.0,170250.0,70.6,1.38,277.31
2275.0,170625.0,72.2,1.38,277.67
2280.0,171000.0,71.3,4.11,278.03
2285.0,171375.0,69.9,4.66,278.38
2290.0,171750.0,69.5,2.93,278.72
2295.0,172125.0,67.5,1.07,279.06
2300.0,172500.0,67.3,1.56,279.4
2305.0,172875.0,67.5,3.17,279.74
2310.0,173250.0,66.2,4.78,280.07
2315.0,173625.0,64.9,1.76,280.39
2320.0,174000.0,66.3,-0.16,280.72
2325.0,174375.0,64.5,0.2,281.05
2330.0,174750.0,64.0,1.17,281.37
2335.0,175125.0,63.8,5.11,281.68
2340.0,175500.0,62.5,2.48,282.0
2345.0,175875.0,62.3,2.86,282.31
2350.0,176250.0,60.6,3.35,282.61
2355.0,176625.0,59.9,1.86,282.91
2360.0,177000.0,59.6,1.78,283.21
2365.0,177375.0,59.3,-0.16,283.51
2370.0,177750.0,58.0,1.27,283.79
2375.0,178125.0,57.0,2.6,284.08
2380.0,178500.0,56.8,2.16,284.36
2385.0,178875.0,56.1,0.48,284.64
2390.0,179250.0,55.8,-1.03,284.92
2395.0,179625.0,54.9,1.04,285.2
