Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-390.67,
5.0,0.0,,-1.84,
10.0,0.0,,-817.78,
15.0,0.0,,-738.91,
20.0,0.0,,-154.59,
25.0,0.0,,169.72,
30.0,0.0,,-4.29,
35.0,0.0,,-175.9,
40.0,0.0,,-345.33,
45.0,0.0,,-3.23,
50.0,0.0,2.3,3.15,0.01
55.0,0.0,6.3,4.54,0.04
60.0,0.0,85.4,5.09,0.47
65.0,0.0,94.8,4.83,0.94
70.0,0.0,90.1,7.01,1.39
75.0,0.0,89.5,8.97,1.84
80.0,0.0,108.3,10.44,2.38
85.0,0.0,154.0,11.34,3.15
90.0,0.0,163.5,13.07,3.97
95.0,0.0,167.9,14.93,4.81
100.0,0.0,207.1,17.46,5.85
105.0,0.0,257.9,19.17,7.14
110.0,0.0,263.1,19.73,8.45
115.0,0.0,282.9,21.52,9.87
120.0,0.0,314.5,21.84,11.44
125.0,0.0,342.1,23.84,13.15
130.0,0.0,364.3,26.02,14.97
135.0,0.0,407.6,27.52,17.01
140.0,0.0,423.1,28.05,19.12
145.0,0.0,470.6,27.19,21.48
150.0,0.0,446.7,28.15,23.71
155.0,0.0,478.5,29.08,26.1
160.0,0.0,466.9,29.71,28.44
165.0,0.0,501.4,28.6,30.94
170.0,0.0,481.8,27.54,33.35
175.0,0.0,500.1,27.97,35.85
180.0,0.0,510.1,29.4,38.4
185.0,0.0,510.2,29.79,40.96
190.0,0.0,509.5,29.44,43.5
195.0,0.0,509.8,29.83,46.05
200.0,0.0,518.6,29.92,48.64
205.0,0.0,520.4,30.37,51.25
210.0,0.0,522.5,28.76,53.86
215.0,0.0,538.3,27.05,56.55
220.0,0.0,508.6,26.54,59.09
225.0,0.0,497.2,27.64,61.58
230.0,0.0,481.8,28.26,63.99
235.0,0.0,478.8,27.71,66.38
240.0,0.0,494.1,25.85,68.85
245.0,0.0,462.4,24.72,71.17
250.0,0.0,466.9,25.23,73.5
255.0,0.0,459.4,24.16,75.8
260.0,0.0,452.0,23.34,78.06
265.0,0.0,435.5,20.98,80.23
270.0,0.0,397.7,19.26,82.22
275.0,0.0,391.8,19.46,84.18
280.0,0.0,310.8,18.84,85.74
285.0,0.0,222.8,18.02,86.85
290.0,0.0,207.2,16.97,87.89
295.0,0.0,207.7,16.18,88.92
300.0,0.0,198.9,16.09,89.92
305.0,0.0,187.0,16.74,90.85
310.0,0.0,180.6,16.25,91.76
315.0,0.0,180.0,15.89,92.66
320.0,0.0,185.3,15.86,93.58
325.0,0.0,189.5,15.74,94.53
330.0,0.0,181.2,16.24,95.44
335.0,0.0,186.2,16.47,96.37
340.0,0.0,192.1,16.81,97.33
345.0,0.0,198.8,17.12,98.32
350.0,0.0,198.6,17.14,99.32
355.0,0.0,202.0,16.82,100.33
360.0,0.0,205.7,16.69,101.35
365.0,0.0,208.7,17.09,102.4
370.0,0.0,210.7,17.07,103.45
375.0,0.0,213.5,17.37,104.52
380.0,0.0,209.5,17.14,105.57
385.0,0.0,207.0,16.88,106.6
390.0,0.0,212.7,16.77,107.67
