Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,20.0,
5.0,,19.96,
10.0,,19.98,
15.0,,19.98,
20.0,,20.0,
25.0,,20.03,
30.0,,20.03,
35.0,,20.04,
40.0,,20.0,
45.0,,19.97,
50.0,,19.96,
55.0,,19.99,
60.0,,20.02,
65.0,,20.04,
70.0,,20.01,
75.0,,19.99,
80.0,,19.97,
85.0,,19.98,
90.0,,20.03,
95.0,,20.03,
100.0,,20.02,
105.0,,19.98,
110.0,,19.99,
115.0,,20.02,
120.0,,20.03,
125.0,,20.01,
130.0,,19.97,
135.0,1015.9,19.97,5.08
140.0,1010.4,19.98,10.13
145.0,1024.9,19.98,15.26
150.0,999.1,20.02,20.25
155.0,993.6,20.02,25.22
160.0,991.3,20.02,30.18
165.0,1020.4,19.98,35.28
170.0,1017.1,19.98,40.36
175.0,991.4,20.01,45.32
180.0,997.8,20.0,50.31
185.0,1028.7,20.02,55.45
190.0,984.5,19.98,60.38
195.0,1004.7,19.96,65.4
200.0,996.1,19.98,70.38
205.0,1008.5,19.98,75.42
210.0,998.4,20.02,80.41
215.0,1014.2,20.04,85.48
220.0,989.6,20.01,90.43
225.0,1016.1,19.98,95.51
230.0,1019.4,19.98,100.61
235.0,1006.8,19.98,105.64
240.0,1010.7,19.99,110.7
245.0,1012.1,20.0,115.76
250.0,998.1,20.01,120.75
255.0,988.5,20.02,125.69
260.0,1018.9,20.02,130.79
265.0,1000.0,20.02,135.79
270.0,1020.0,20.02,140.89
275.0,990.3,20.01,145.84
280.0,1014.5,19.98,150.91
285.0,1012.5,19.98,155.97
290.0,1004.2,19.96,160.99
295.0,1007.7,19.98,166.03
300.0,1004.9,20.02,171.06
305.0,996.7,20.04,176.04
310.0,997.7,20.02,181.03
315.0,980.2,19.99,185.93
320.0,995.9,19.97,190.91
325.0,1036.0,20.0,196.09
330.0,1014.6,20.02,201.16
335.0,986.3,20.0,206.09
340.0,1006.5,20.0,211.13
345.0,1004.9,20.0,216.15
350.0,992.7,20.03,221.11
355.0,1010.1,20.0,226.16
360.0,1030.9,19.99,231.32
365.0,1015.6,20.0,236.4
370.0,996.9,20.0,241.38
375.0,979.2,19.99,246.28
380.0,998.2,19.98,251.27
385.0,1008.2,20.0,256.31
390.0,1002.5,20.0,261.32
395.0,1003.8,20.0,266.34
400.0,983.9,19.99,271.26
405.0,995.9,19.98,276.24
410.0,1009.2,20.0,281.29
415.0,1005.1,20.0,286.31
420.0,1017.7,20.0,291.4
425.0,997.9,20.0,296.39
430.0,1011.6,20.0,301.45
435.0,1000.3,20.0,306.45
440.0,1020.8,20.02,311.55
445.0,1001.0,20.03,316.56
450.0,1002.3,19.99,321.57
455.0,1011.9,19.88,326.63
460.0,995.4,20.12,331.61
465.0,998.2,20.0,336.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
