Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-2.19,
5.0,,-3.47,
10.0,,-1.13,
15.0,,-0.06,
20.0,,0.03,
25.0,,-1.63,
30.0,,-0.85,
35.0,,1.22,
40.0,,0.87,
45.0,,1.14,
50.0,,-1.17,
55.0,,-3.24,
60.0,,0.3,
65.0,,-1.1,
70.0,,0.64,
75.0,,2.41,
80.0,,0.41,
85.0,,0.24,
90.0,,0.53,
95.0,,0.51,
100.0,,2.45,
105.0,,0.86,
110.0,,-1.09,
115.0,,1.35,
120.0,,2.9,
125.0,,1.59,
130.0,,0.31,
135.0,,-2.51,
140.0,,-2.19,
145.0,,1.96,
150.0,,0.63,
155.0,,2.13,
160.0,,1.79,
165.0,,0.08,
170.0,,3.0,
175.0,2.6,2.0,0.01
180.0,8.8,3.41,0.06
185.0,34.2,6.1,0.23
190.0,77.5,5.96,0.62
195.0,123.5,6.88,1.23
200.0,140.0,5.95,1.93
205.0,137.0,5.76,2.62
210.0,130.7,6.16,3.27
215.0,126.0,8.04,3.9
220.0,122.1,8.12,4.51
225.0,121.7,9.61,5.12
230.0,119.3,10.47,5.72
235.0,119.1,6.44,6.31
240.0,117.7,4.2,6.9
245.0,115.2,1.38,7.48
250.0,111.6,3.51,8.04
255.0,109.2,8.01,8.58
260.0,107.7,8.08,9.12
265.0,108.1,5.41,9.66
270.0,107.5,1.65,10.2
275.0,104.3,1.16,10.72
280.0,99.8,3.98,11.22
285.0,98.3,6.48,11.71
290.0,93.8,5.09,12.18
295.0,90.5,4.83,12.63
300.0,88.9,3.78,13.08
305.0,86.8,3.09,13.51
310.0,82.1,3.64,13.92
315.0,79.5,2.48,14.32
320.0,76.2,4.08,14.7
325.0,71.7,5.26,15.06
330.0,70.6,4.38,15.41
335.0,67.3,2.67,15.75
340.0,64.3,0.83,16.07
345.0,60.1,0.56,16.37
350.0,60.7,1.02,16.67
355.0,64.3,3.72,16.99
360.0,64.2,4.25,17.32
365.0,64.5,4.91,17.64
370.0,63.2,3.56,17.95
375.0,61.1,3.07,18.26
380.0,60.7,2.4,18.56
385.0,57.8,1.9,18.85
390.0,56.8,1.65,19.14
395.0,54.1,2.2,19.41
400.0,52.2,3.03,19.67
405.0,49.5,2.6,19.91
410.0,47.5,2.94,20.15
415.0,45.3,1.26,20.38
420.0,45.0,3.8,20.6
425.0,41.9,3.74,20.81
430.0,39.4,3.66,21.01
435.0,36.2,2.21,21.19
440.0,36.6,0.06,21.37
445.0,32.8,1.97,21.54
450.0,28.5,1.74,21.68
455.0,27.6,2.34,21.82
460.0,27.1,1.94,21.95
465.0,26.8,1.05,22.09
470.0,27.7,1.73,22.23
475.0,27.4,1.05,22.36
480.0,25.5,2.57,22.49
485.0,24.2,0.79,22.61
490.0,25.0,0.8,22.74
495.0,24.7,1.52,22.86
500.0,24.8,2.01,22.98
505.0,23.5,4.19,23.1
510.0,23.3,1.72,23.22
515.0,23.9,2.12,23.34
520.0,23.1,1.24,23.45
525.0,23.0,1.01,23.57
530.0,23.0,0.51,23.68
535.0,22.8,0.09,23.8
540.0,23.8,1.35,23.92
545.0,23.0,3.64,24.03
550.0,22.3,2.46,24.14
555.0,22.4,0.8,24.25
560.0,22.2,2.61,24.37
565.0,20.9,-0.02,24.47
570.0,21.4,3.81,24.58
575.0,22.0,4.33,24.69
580.0,20.4,0.91,24.79
585.0,20.3,1.25,24.89
590.0,19.3,-0.27,24.99
595.0,20.1,-0.44,25.09
600.0,20.2,1.03,25.19
605.0,19.1,0.35,25.28
610.0,19.2,2.17,25.38
615.0,19.0,3.83,25.47
620.0,19.5,3.4,25.57
625.0,19.5,1.93,25.67
630.0,18.7,-0.12,25.76
635.0,18.5,0.89,25.86
640.0,18.6,1.04,25.95
645.0,18.4,1.05,26.04
650.0,17.3,0.78,26.13
655.0,18.4,1.33,26.22
660.0,18.0,2.26,26.31
665.0,17.5,2.88,26.4
670.0,16.6,0.91,26.48
675.0,17.7,-0.66,26.57
680.0,16.3,-0.99,26.65
685.0,16.9,1.8,26.73
690.0,16.6,4.62,26.82
695.0,15.9,2.71,26.9
700.0,15.5,0.05,26.97
705.0,15.8,-3.37,27.05
710.0,16.7,-0.86,27.14
715.0,16.8,3.44,27.22
720.0,15.1,2.96,27.3
725.0,15.6,2.47,27.37
730.0,15.5,0.43,27.45
735.0,15.2,-0.95,27.53
740.0,15.1,2.2,27.6
745.0,14.4,2.36,27.67
750.0,16.2,1.32,27.76
755.0,16.2,1.76,27.84
760.0,16.1,1.64,27.92
765.0,15.9,0.02,28.0
770.0,16.2,2.38,28.08
775.0,14.7,1.87,28.15
780.0,15.1,-0.6,28.23
785.0,15.4,2.62,28.3
790.0,15.9,1.62,28.38
795.0,15.9,2.05,28.46
800.0,15.9,1.34,28.54
805.0,15.7,-2.62,28.62
810.0,16.4,-0.44,28.7
815.0,15.6,0.56,28.78
820.0,15.8,0.77,28.86
825.0,16.0,2.13,28.94
830.0,15.1,0.93,29.01
835.0,15.4,2.68,29.09
840.0,15.4,2.87,29.17
845.0,16.2,0.74,29.25
850.0,16.2,0.32,29.33
855.0,16.5,1.75,29.41
860.0,15.0,2.25,29.49
865.0,15.3,3.13,29.56
870.0,14.9,3.93,29.64
875.0,16.1,0.57,29.72
880.0,16.5,1.29,29.8
885.0,16.0,-0.55,29.88
890.0,15.4,0.26,29.96
895.0,16.5,0.52,30.04
900.0,16.3,1.53,30.12
905.0,16.5,2.76,30.21
910.0,16.8,0.23,30.29
915.0,16.4,2.55,30.37
920.0,15.9,-0.0,30.45
925.0,15.3,-0.3,30.53
930.0,15.7,1.85,30.61
935.0,15.2,1.17,30.68
940.0,16.0,3.49,30.76
945.0,16.0,1.05,30.84
950.0,15.6,-2.3,30.92
955.0,14.8,0.45,30.99
960.0,15.6,0.78,31.07
965.0,15.2,4.83,31.15
970.0,15.4,4.5,31.23
975.0,15.2,2.19,31.3
980.0,16.1,0.08,31.38
985.0,14.9,-1.87,31.46
990.0,16.3,-0.36,31.54
995.0,15.8,0.14,31.62
1000.0,15.6,2.8,31.69
1005.0,16.6,0.19,31.78
1010.0,16.4,0.2,31.86
1015.0,16.4,2.92,31.94
1020.0,16.6,14.31,32.03
1025.0,17.2,-11.85,32.11
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
