Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-8.51,
5.0,125.0,,4.22,
10.0,250.0,,-1.46,
15.0,375.0,,-0.31,
20.0,500.0,,0.16,
25.0,625.0,,1.1,
30.0,750.0,,-0.44,
35.0,875.0,,0.91,
40.0,1000.0,,1.09,
45.0,1125.0,,0.52,
50.0,1250.0,,-0.26,
55.0,1375.0,,-2.09,
60.0,1500.0,,-1.27,
65.0,1625.0,,0.21,
70.0,1750.0,,0.86,
75.0,1875.0,,1.67,
80.0,2000.0,,2.16,
85.0,2125.0,,0.13,
90.0,2250.0,,-0.95,
95.0,2375.0,,-1.28,
100.0,2500.0,,0.27,
105.0,2625.0,,1.73,
110.0,2750.0,,2.13,
115.0,2875.0,,1.96,
120.0,3000.0,,0.9,
125.0,3125.0,,0.65,
130.0,3250.0,,0.46,
135.0,3375.0,,1.51,
140.0,3500.0,,0.87,
145.0,3625.0,,-0.15,
150.0,3750.0,,-1.32,
155.0,3875.0,,0.19,
160.0,4000.0,,0.26,
165.0,4125.0,,-0.25,
170.0,4250.0,,-0.24,
175.0,4375.0,,0.38,
180.0,4500.0,,1.37,
185.0,4625.0,,1.68,
190.0,4750.0,,2.1,
195.0,4875.0,,1.76,
200.0,5000.0,,1.49,
205.0,5125.0,,0.25,
210.0,5250.0,,-0.03,
215.0,5375.0,,1.3,
220.0,5500.0,,1.23,
225.0,5625.0,,0.82,
230.0,5750.0,,1.37,
235.0,5875.0,,2.99,
240.0,6000.0,0.6,4.14,0.0
245.0,6125.0,12.2,5.43,0.06
250.0,6250.0,83.4,6.55,0.48
255.0,6375.0,155.8,8.45,1.26
260.0,6500.0,179.3,9.05,2.16
265.0,6625.0,179.6,7.96,3.05
270.0,6750.0,174.0,7.52,3.92
275.0,6875.0,163.9,7.62,4.74
280.0,7000.0,157.4,7.74,5.53
285.0,7125.0,153.6,7.02,6.3
290.0,7250.0,149.6,7.1,7.05
295.0,7375.0,143.8,7.12,7.77
300.0,7500.0,138.3,7.54,8.46
305.0,7625.0,134.5,6.4,9.13
310.0,7750.0,136.1,5.97,9.81
315.0,7875.0,132.7,6.22,10.47
320.0,8000.0,127.8,6.23,11.11
325.0,8125.0,124.8,5.15,11.74
330.0,8250.0,118.2,4.34,12.33
