Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-2.97,
5.0,500.0,,3.23,
10.0,1000.0,0.8,5.27,0.0
15.0,1500.0,41.4,10.9,0.21
20.0,2000.0,206.2,17.23,1.24
25.0,2500.0,344.3,22.51,2.96
30.0,3000.0,431.1,25.51,5.12
35.0,3500.0,506.2,27.2,7.65
40.0,4000.0,550.7,27.35,10.4
45.0,4500.0,576.4,26.88,13.29
50.0,5000.0,565.6,25.06,16.11
55.0,5500.0,545.3,22.24,18.84
60.0,6000.0,482.2,19.37,21.25
65.0,6500.0,410.0,17.52,23.3
70.0,7000.0,336.3,14.9,24.98
75.0,7500.0,273.1,11.78,26.35
80.0,8000.0,231.5,10.41,27.51
85.0,8500.0,205.0,8.86,28.53
90.0,9000.0,186.6,8.87,29.46
95.0,9500.0,171.1,8.67,30.32
100.0,10000.0,161.7,6.58,31.13
105.0,10500.0,149.3,6.71,31.88
110.0,11000.0,139.6,5.54,32.57
115.0,11500.0,132.3,4.96,33.23
120.0,12000.0,123.9,5.0,33.85
125.0,12500.0,122.1,4.31,34.46
130.0,13000.0,119.2,4.76,35.06
135.0,13500.0,114.2,4.71,35.63
140.0,14000.0,112.4,4.82,36.19
145.0,14500.0,107.4,5.13,36.73
150.0,15000.0,104.1,5.84,37.25
155.0,15500.0,101.3,4.43,37.76
160.0,16000.0,96.2,3.81,38.24
165.0,16500.0,93.5,2.99,38.71
170.0,17000.0,92.3,3.01,39.17
175.0,17500.0,89.7,3.96,39.62
180.0,18000.0,89.6,3.26,40.06
185.0,18500.0,88.4,3.77,40.51
190.0,19000.0,86.8,3.42,40.94
195.0,19500.0,84.0,3.42,41.36
200.0,20000.0,81.4,3.57,41.77
205.0,20500.0,79.2,4.09,42.16
210.0,21000.0,78.9,3.72,42.56
215.0,21500.0,77.6,3.09,42.95
220.0,22000.0,78.2,2.74,43.34
225.0,22500.0,76.8,1.79,43.72
230.0,23000.0,75.8,2.45,44.1
235.0,23500.0,76.0,3.43,44.48
240.0,24000.0,75.9,3.81,44.86
245.0,24500.0,74.5,4.39,45.23
250.0,25000.0,72.1,3.65,45.59
255.0,25500.0,72.5,3.04,45.96
260.0,26000.0,71.5,3.55,46.31
265.0,26500.0,71.0,3.49,46.67
270.0,27000.0,71.6,3.5,47.03
275.0,27500.0,73.9,2.81,47.4
280.0,28000.0,72.9,2.17,47.76
285.0,28500.0,73.0,2.22,48.12
290.0,29000.0,73.5,1.99,48.49
295.0,29500.0,76.6,2.06,48.88
300.0,30000.0,74.3,2.05,49.25
305.0,30500.0,75.6,2.3,49.63
310.0,31000.0,76.2,3.47,50.01
315.0,31500.0,77.9,3.4,50.4
320.0,32000.0,77.3,3.02,50.78
325.0,32500.0,78.8,2.93,51.18
330.0,33000.0,78.8,3.1,51.57
335.0,33500.0,79.5,4.4,51.97
340.0,34000.0,79.2,4.17,52.36
345.0,34500.0,79.2,4.11,52.76
350.0,35000.0,80.4,3.57,53.16
355.0,35500.0,80.7,3.2,53.57
360.0,36000.0,80.5,3.48,53.97
365.0,36500.0,80.1,2.96,54.37
370.0,37000.0,81.6,3.39,54.78
375.0,37500.0,81.8,3.26,55.19
380.0,38000.0,82.9,3.08,55.6
385.0,38500.0,83.0,3.29,56.02
390.0,39000.0,83.2,4.02,56.43
395.0,39500.0,83.9,3.67,56.85
400.0,40000.0,83.8,3.84,57.27
405.0,40500.0,85.3,4.09,57.7
410.0,41000.0,83.6,3.3,58.11
415.0,41500.0,87.0,3.37,58.55
420.0,42000.0,86.7,2.75,58.98
425.0,42500.0,87.3,2.7,59.42
430.0,43000.0,87.4,4.48,59.86
435.0,43500.0,88.4,4.24,60.3
440.0,44000.0,89.4,4.06,60.74
445.0,44500.0,89.6,4.24,61.19
450.0,45000.0,88.5,3.66,61.64
455.0,45500.0,90.9,4.23,62.09
460.0,46000.0,91.3,3.24,62.55
465.0,46500.0,90.8,2.82,63.0
470.0,47000.0,91.1,3.93,63.46
475.0,47500.0,91.3,4.39,63.91
480.0,48000.0,92.0,4.07,64.37
485.0,48500.0,92.8,4.25,64.84
490.0,49000.0,93.5,3.33,65.3
495.0,49500.0,95.5,3.6,65.78
500.0,50000.0,96.4,4.48,66.26
505.0,50500.0,95.2,4.12,66.74
510.0,51000.0,96.5,4.67,67.22
515.0,51500.0,96.3,4.74,67.7
520.0,52000.0,95.8,3.73,68.18
525.0,52500.0,99.0,3.28,68.68
530.0,53000.0,96.3,3.08,69.16
535.0,53500.0,97.8,3.85,69.65
540.0,54000.0,98.3,4.42,70.14
545.0,54500.0,98.3,2.62,70.63
550.0,55000.0,98.3,2.05,71.12
555.0,55500.0,99.3,2.09,71.62
560.0,56000.0,98.9,3.61,72.11
565.0,56500.0,100.2,4.98,72.61
570.0,57000.0,101.5,4.18,73.12
575.0,57500.0,102.4,4.05,73.63
580.0,58000.0,102.6,3.6,74.15
585.0,58500.0,102.7,3.09,74.66
590.0,59000.0,103.0,3.51,75.17
595.0,59500.0,101.7,3.3,75.68
600.0,60000.0,102.1,3.63,76.19
605.0,60500.0,102.0,3.84,76.7
610.0,61000.0,102.3,4.06,77.22
615.0,61500.0,102.5,5.4,77.73
620.0,62000.0,102.7,5.01,78.24
625.0,62500.0,104.0,4.25,78.76
630.0,63000.0,104.7,3.21,79.28
635.0,63500.0,103.4,2.39,79.8
640.0,64000.0,103.9,3.16,80.32
645.0,64500.0,102.6,3.93,80.83
650.0,65000.0,102.7,5.11,81.35
655.0,65500.0,104.4,5.21,81.87
660.0,66000.0,103.7,4.32,82.39
665.0,66500.0,103.3,3.53,82.9
670.0,67000.0,104.2,3.76,83.42
675.0,67500.0,104.5,3.86,83.95
680.0,68000.0,103.2,3.99,84.46
685.0,68500.0,102.7,4.4,84.98
690.0,69000.0,102.5,4.6,85.49
695.0,69500.0,104.5,5.18,86.01
700.0,70000.0,102.9,3.91,86.53
705.0,70500.0,103.2,3.63,87.04
710.0,71000.0,103.7,3.85,87.56
715.0,71500.0,102.4,4.49,88.07
720.0,72000.0,102.9,4.7,88.59
725.0,72500.0,104.4,3.51,89.11
730.0,73000.0,103.5,3.97,89.63
735.0,73500.0,102.3,4.39,90.14
740.0,74000.0,102.0,5.47,90.65
745.0,74500.0,103.5,6.01,91.17
750.0,75000.0,104.5,4.69,91.69
755.0,75500.0,103.3,3.69,92.2
760.0,76000.0,103.2,3.72,92.72
765.0,76500.0,103.6,4.36,93.24
770.0,77000.0,105.8,5.34,93.77
775.0,77500.0,106.1,5.93,94.3
780.0,78000.0,105.6,5.1,94.83
785.0,78500.0,106.3,4.66,95.36
790.0,79000.0,104.7,4.57,95.88
795.0,79500.0,106.1,4.46,96.41
800.0,80000.0,104.1,5.54,96.93
805.0,80500.0,104.7,6.46,97.46
810.0,81000.0,103.7,6.39,97.97
815.0,81500.0,104.5,5.85,98.5
820.0,82000.0,105.5,5.42,99.02
825.0,82500.0,105.7,4.93,99.55
830.0,83000.0,104.8,5.27,100.08
835.0,83500.0,103.0,5.9,100.59
840.0,84000.0,104.9,5.43,101.12
845.0,84500.0,104.0,5.16,101.64
850.0,85000.0,105.3,4.97,102.16
855.0,85500.0,103.8,3.99,102.68
860.0,86000.0,104.7,3.98,103.21
865.0,86500.0,104.4,4.54,103.73
870.0,87000.0,102.5,4.92,104.24
875.0,87500.0,105.2,5.88,104.77
880.0,88000.0,101.8,4.97,105.27
885.0,88500.0,102.5,4.33,105.79
890.0,89000.0,105.0,3.77,106.31
895.0,89500.0,102.7,4.39,106.83
900.0,90000.0,104.4,6.2,107.35
905.0,90500.0,104.5,5.28,107.87
910.0,91000.0,106.4,5.52,108.4
915.0,91500.0,105.2,4.66,108.93
920.0,92000.0,106.6,4.66,109.46
925.0,92500.0,104.9,6.37,109.99
930.0,93000.0,106.6,5.72,110.52
935.0,93500.0,105.9,4.89,111.05
940.0,94000.0,106.6,3.75,111.58
945.0,94500.0,105.0,3.91,112.11
950.0,95000.0,107.8,5.04,112.65
955.0,95500.0,105.8,5.64,113.17
960.0,96000.0,107.1,5.43,113.71
965.0,96500.0,108.4,5.3,114.25
970.0,97000.0,107.1,5.13,114.79
975.0,97500.0,106.2,5.12,115.32
980.0,98000.0,103.8,4.67,115.84
985.0,98500.0,103.3,4.19,116.35
990.0,99000.0,106.7,4.96,116.89
995.0,99500.0,105.9,4.97,117.42
1000.0,100000.0,104.9,4.58,117.94
1005.0,100500.0,107.5,4.06,118.48
1010.0,101000.0,106.0,3.86,119.01
1015.0,101500.0,107.1,4.28,119.54
1020.0,102000.0,107.8,4.74,120.08
1025.0,102500.0,106.4,4.92,120.61
1030.0,103000.0,105.6,4.94,121.14
1035.0,103500.0,105.6,5.14,121.67
1040.0,104000.0,106.9,4.72,122.21
1045.0,104500.0,106.3,4.63,122.74
1050.0,105000.0,107.7,4.47,123.28
1055.0,105500.0,106.9,4.65,123.81
1060.0,106000.0,106.8,4.72,124.34
1065.0,106500.0,107.4,5.06,124.88
1070.0,107000.0,107.9,5.3,125.42
1075.0,107500.0,108.0,4.95,125.96
1080.0,108000.0,108.8,4.99,126.5
1085.0,108500.0,111.1,4.09,127.06
1090.0,109000.0,109.3,4.7,127.61
1095.0,109500.0,109.5,5.42,128.15
1100.0,110000.0,108.0,5.6,128.69
1105.0,110500.0,110.0,5.63,129.24
1110.0,111000.0,110.4,4.75,129.8
1115.0,111500.0,108.9,4.26,130.34
1120.0,112000.0,111.9,4.89,130.9
1125.0,112500.0,112.0,4.85,131.46
1130.0,113000.0,112.6,4.72,132.02
1135.0,113500.0,112.0,4.1,132.58
1140.0,114000.0,112.9,4.27,133.15
1145.0,114500.0,113.3,5.28,133.71
1150.0,115000.0,115.6,5.19,134.29
1155.0,115500.0,113.9,5.48,134.86
1160.0,116000.0,113.5,4.85,135.43
1165.0,116500.0,113.8,4.99,136.0
1170.0,117000.0,114.3,5.05,136.57
1175.0,117500.0,114.5,4.64,137.14
1180.0,118000.0,114.3,5.49,137.71
1185.0,118500.0,116.0,5.83,138.29
1190.0,119000.0,114.9,6.03,138.87
1195.0,119500.0,116.0,5.14,139.45
1200.0,120000.0,116.3,3.98,140.03
1205.0,120500.0,119.8,3.8,140.63
1210.0,121000.0,118.7,5.04,141.22
1215.0,121500.0,119.7,6.03,141.82
1220.0,122000.0,120.0,5.84,142.42
1225.0,122500.0,120.4,5.01,143.02
1230.0,123000.0,121.2,4.53,143.63
1235.0,123500.0,122.4,5.06,144.24
1240.0,124000.0,121.8,5.88,144.85
1245.0,124500.0,123.7,5.71,145.47
