Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,1.15,
5.0,,1.65,
10.0,,0.73,
15.0,,0.79,
20.0,,0.51,
25.0,,1.29,
30.0,,-0.14,
35.0,,-0.34,
40.0,,0.46,
45.0,,-0.23,
50.0,,0.71,
55.0,,-0.42,
60.0,,-0.67,
65.0,,0.97,
70.0,,3.93,
75.0,,8.71,
80.0,6.6,11.26,0.03
85.0,14.2,15.57,0.1
90.0,42.1,19.83,0.31
95.0,95.2,24.05,0.79
100.0,114.3,27.27,1.36
105.0,184.9,27.96,2.29
110.0,214.4,27.59,3.36
115.0,232.8,28.56,4.52
120.0,266.0,27.5,5.85
125.0,270.6,26.53,7.2
130.0,251.0,26.09,8.46
135.0,239.9,25.07,9.66
140.0,247.7,27.18,10.9
145.0,256.1,27.48,12.18
150.0,246.1,27.53,13.41
155.0,240.3,26.65,14.61
160.0,255.9,26.36,15.89
165.0,254.1,26.21,17.16
170.0,233.6,28.0,18.33
175.0,226.7,26.85,19.46
180.0,214.2,26.61,20.53
185.0,209.4,24.94,21.58
190.0,218.3,22.41,22.67
195.0,217.0,22.33,23.75
200.0,201.8,19.03,24.76
205.0,198.3,17.8,25.76
210.0,241.0,15.33,26.96
215.0,297.1,13.61,28.45
220.0,321.7,11.94,30.05
225.0,319.8,8.71,31.65
230.0,307.8,6.46,33.19
235.0,281.4,5.97,34.6
240.0,235.3,4.39,35.78
245.0,188.5,4.08,36.72
250.0,143.4,1.79,37.44
255.0,107.8,1.66,37.97
260.0,80.4,2.66,38.38
265.0,62.1,1.4,38.69
270.0,49.8,1.65,38.94
275.0,42.6,0.47,39.15
280.0,38.4,0.98,39.34
285.0,36.5,1.78,39.52
290.0,34.3,2.49,39.69
295.0,33.4,1.33,39.86
300.0,33.2,0.4,40.03
305.0,32.3,0.07,40.19
310.0,33.1,1.03,40.36
315.0,32.5,2.55,40.52
320.0,33.4,1.79,40.68
325.0,32.4,1.78,40.85
330.0,33.3,2.23,41.01
335.0,33.7,1.09,41.18
340.0,32.1,2.13,41.34
345.0,31.7,0.52,41.5
350.0,31.2,1.13,41.66
355.0,30.9,2.26,41.81
360.0,30.2,1.91,41.96
365.0,30.6,2.73,42.11
370.0,30.9,0.94,42.27
375.0,31.2,1.29,42.43
380.0,30.5,0.63,42.58
385.0,29.2,0.19,42.72
390.0,29.3,0.42,42.87
395.0,28.0,-0.5,43.01
400.0,29.0,0.02,43.16
405.0,28.6,1.18,43.3
410.0,27.8,5.95,43.44
415.0,28.3,-1.16,43.58
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
